PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
nJnuj,2r5/8/1R2Rpkp/4p1p1/8/r4PKP/8/8 b - - 6 52,g6f5 e6f6,731,89,50,47,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/QV3juBDh/black#104,,True,https://lichess.org/training/nJnuj
OwBWw,r1bqrk1Q/ppp3p1/2n1p3/3nP1N1/3P4/2P1B3/P4PPP/R3K2R b KQ - 6 17,f8e7 h8g7,731,93,87,233,mate mateIn1 middlegame oneMove,https://lichess.org/t0rQGUnJ/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense,True,https://lichess.org/training/OwBWw
lR3A2,r2q1bnr/pp2p1k1/2n1P1pp/2pp4/8/5Q2/PPPP1PPP/RNB1K2R b KQ - 0 11,c6d4 f3f7,731,79,74,80,mate mateIn1 oneMove opening,https://lichess.org/HfLYgZ2g/black#22,Scandinavian_Defense Scandinavian_Defense_Other_variations,True,https://lichess.org/training/lR3A2
m6jjl,2B2b2/p2R2k1/4P1p1/1p6/2n2P2/6PK/4q3/8 b - - 4 46,g7f6 d7f7,731,82,100,343,endgame mate mateIn1 oneMove,https://lichess.org/CYnEFUEV/black#92,,True,https://lichess.org/training/m6jjl
UjSwo,8/5B2/1pR5/4ppkp/8/3r1PK1/8/8 b - - 3 40,e5e4 c6g6,731,100,81,132,endgame mate mateIn1 oneMove operaMate,https://lichess.org/ye79md3Q/black#80,,True,https://lichess.org/training/UjSwo
dpYYh,7r/3Q1b2/p3pBkp/4PP2/4n1P1/8/PP2q3/6KR b - - 0 41,g6h7 d7f7,731,84,99,703,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/WcbyyGEn/black#82,,True,https://lichess.org/training/dpYYh
CF3sg,8/8/1R3k2/p3rP1p/3p2r1/3P1R1K/8/8 b - - 0 43,f6g5 b6g6,731,108,100,42,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/eCr9mQlm/black#86,,True,https://lichess.org/training/CF3sg
hZb8P,4R3/8/4pr1p/p2R1k1P/4pPp1/4P1K1/8/8 b - - 0 44,e6d5 e8e5,731,79,82,150,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/B3wAluVj/black#88,,True,https://lichess.org/training/hZb8P
vSHso,8/p5kp/2p3p1/8/8/1N6/P3rr2/R1KR4 w - - 24 41,a1b1 e2c2,732,87,100,178,endgame mate mateIn1 oneMove,https://lichess.org/qL7ZKPW5#81,,True,https://lichess.org/training/vSHso
4VbwT,1r6/Rp6/2pPkp2/2P1p3/4P1P1/6K1/8/8 b - - 2 42,b7b6 a7e7,732,98,90,687,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/MS3lhMDj/black#84,,True,https://lichess.org/training/4VbwT
oCn6s,2r5/1p1n1kp1/p1r1ppp1/3p4/3P1P2/2bK2B1/1P1NR1PP/4R3 w - - 0 29,b2c3 c6c3,732,102,64,40,master mate mateIn1 middlegame oneMove,https://lichess.org/0lIXkU96#57,,True,https://lichess.org/training/oCn6s
CiZNZ,8/6p1/7k/8/Q1PP1p2/P1P5/K3r1P1/4r3 w - - 1 39,a2b3 e1b1,732,84,77,125,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/LUthBdmn#77,,True,https://lichess.org/training/CiZNZ
9FENQ,1r6/R7/4Pkp1/3P1p2/1pp2P2/3b2K1/6P1/8 b - - 0 37,b4b3 a7f7,732,104,98,642,endgame master mate mateIn1 oneMove,https://lichess.org/Z2T7bsC2/black#74,,True,https://lichess.org/training/9FENQ
lCkMc,8/p7/1p2p1pp/2n3k1/6N1/4R1K1/r5P1/8 b - - 7 43,h6h5 e3e5,732,89,100,136,endgame master mate mateIn1 oneMove,https://lichess.org/xFpOGlrJ/black#86,,True,https://lichess.org/training/lCkMc
aOGr0,r2nqr2/2pb2k1/3p1ppQ/1p1Pp3/1P2P1P1/2N2P2/P3N2R/2KR4 b - - 1 22,g7f7 h6h7,732,80,100,291,mate mateIn1 middlegame oneMove,https://lichess.org/5GBJFxeO/black#44,,True,https://lichess.org/training/aOGr0
Z29P6,8/8/8/p3p3/1p1k3R/1P1r4/P7/2K5 b - - 7 65,d4c3 h4c4,732,90,84,426,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/ywmVilQ0/black#130,,True,https://lichess.org/training/Z29P6
l51m2,8/4n2p/p2R4/3kP3/2p2PK1/2Ppr3/P6P/8 b - - 9 38,d5e4 d6d4,732,113,96,484,endgame mate mateIn1 oneMove,https://lichess.org/Nwa0L6iW/black#76,,True,https://lichess.org/training/l51m2
ocxsa,8/5p2/1R4p1/4pkPp/1P5P/5PK1/8/1r6 b - - 4 37,b1b3 b6f6,733,78,100,326,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/jZLtyr2p/black#74,,True,https://lichess.org/training/ocxsa
QCUjr,r1bq2r1/1p1n1p1k/p3p2p/3pP2Q/P4P2/2N2R2/1PP3PP/R5K1 b - - 4 18,g8h8 h5f7,733,104,93,797,mate mateIn1 middlegame oneMove,https://lichess.org/uZsn4JZp/black#36,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,True,https://lichess.org/training/QCUjr
VH09n,8/7R/6k1/8/5PKP/2r3P1/5b2/8 w - - 1 48,h7d7 c3g3,733,86,100,313,endgame mate mateIn1 oneMove operaMate,https://lichess.org/tVaK4L5i#95,,True,https://lichess.org/training/VH09n
MSTzo,8/8/3kpR2/1p1P2p1/2p1P1P1/2P1K1r1/8/8 w - - 1 49,e3d4 g3d3,733,102,63,52,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/TY5PvHyq#97,,True,https://lichess.org/training/MSTzo
56UZy,8/3r4/3P1p2/2pR2p1/4pkP1/7P/5P2/5K2 b - - 1 39,c5c4 d5f5,733,80,100,161,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/I3ytQBvM/black#78,,True,https://lichess.org/training/56UZy
oTYii,2k1r3/ppp2pPp/2p5/3r4/b7/2BP1P2/q1P2QPP/2KR1B1R w - - 1 17,c1d2 a2c2,733,100,95,351,mate mateIn1 middlegame oneMove,https://lichess.org/IjW83gZr#33,Russian_Game Russian_Game_Stafford_Gambit,True,https://lichess.org/training/oTYii
hh6l1,8/8/1p1R4/1Pppp3/2PkP3/3P4/p2K4/8 b - - 1 43,a2a1q d6d5,733,104,94,470,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/lfynAH9M/black#86,,True,https://lichess.org/training/hh6l1
q48KH,8/5r2/2pp4/2p5/P1Pk4/2N2p2/2K5/7R b - - 0 45,d4c4 h1h4 f7f4 h4f4,733,93,97,1266,endgame mate mateIn2 short,https://lichess.org/x0KazQ4Q/black#90,,True,https://lichess.org/training/q48KH
XvEjp,4N2r/5B1p/p1p4k/2bn2pP/4R1P1/5p2/PP6/2K5 b - - 0 34,f3f2 e4e6 d5f6 e6f6,733,82,100,195,endgame mate mateIn2 short,https://lichess.org/gcQR61P9/black#68,,True,https://lichess.org/training/XvEjp
A0px5,8/2k4p/2p1R2p/1p6/rKp5/3r1P1P/5PB1/1R6 w - - 3 31,b4c5 d3d5,733,78,91,100,endgame mate mateIn1 oneMove,https://lichess.org/mGiBOW6y#61,,True,https://lichess.org/training/A0px5
UPhRx,8/3p4/1k6/1pR1P3/3P4/KpP5/3r3r/1R6 w - - 0 46,b1b3 d2a2 a3b4 a2a4,733,79,100,419,endgame mate mateIn2 rookEndgame short,https://lichess.org/X2JCyMjg#91,,True,https://lichess.org/training/UPhRx
5hMat,8/8/8/8/7p/1R4kP/4r1P1/4b2K b - - 34 58,g3f2 b3f3,733,85,100,155,endgame master mate mateIn1 oneMove,https://lichess.org/moHLT7uQ/black#116,,True,https://lichess.org/training/5hMat
b0XPr,1N6/8/R1bkp3/1p1p1p2/5r2/2P5/3K4/8 b - - 7 63,d6c5 a6c6,733,99,97,242,endgame master mate mateIn1 oneMove,https://lichess.org/xPk8JLQf/black#126,,True,https://lichess.org/training/b0XPr
I3BXC,1nkr2nr/1ppq1p1p/4bbpP/8/Q2pPB2/3P1N2/3N1PP1/2R1KB1R b K - 3 18,d7a4 c1c7,733,89,86,38,mate mateIn1 oneMove opening operaMate queensideAttack,https://lichess.org/mgek4bAx/black#36,Modern_Defense Modern_Defense_Other_variations,True,https://lichess.org/training/I3BXC
