PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
UJ8MV,r2q1bnr/ppp3k1/3p3p/6BQ/3nP3/2N5/PPP3PP/R4RK1 b - - 0 12,h6g5 f1f7,1357,93,78,69,mate mateIn1 middlegame oneMove,https://lichess.org/xyn26Sdt/black#24,Vienna_Gambit_with_Max_Lange_Defense Vienna_Gambit_with_Max_Lange_Defense_Pierce_Gambit,TRUE,https://lichess.org/training/UJ8MV
UK1ez,8/p5p1/1pQ5/1k2pp1P/qP6/8/1KR2P2/3r4 b - - 9 52,b5b4 c2c4 b4a5 c4a4,1502,76,100,721,endgame mate mateIn2 short,https://lichess.org/2WI1epKM/black#104,,TRUE,https://lichess.org/training/UK1ez
UN328,1rb3r1/2q2kpQ/2p5/2npR3/p1P2P2/1P4R1/P5PP/6K1 b - - 9 28,c5e4 h7g6 f7f8 e5e8,1867,77,85,341,mate mateIn2 middlegame short,https://lichess.org/5Z6UCN6O/black#56,,TRUE,https://lichess.org/training/UN328
UOqBh,k3r3/5p2/p7/7p/7P/2qP1R2/P1PQ4/2RKr3 w - - 1 37,d2e1 e8e1,761,138,33,15,endgame mate mateIn1 oneMove,https://lichess.org/h6wBDnHP#73,,TRUE,https://lichess.org/training/UOqBh
URqFA,2kr4/ppp5/7p/5pp1/8/Pq5P/1P2NP1N/R1Kr3Q w - - 1 28,h1d1 d8d1,456,99,100,324,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/80Hwulw4#55,,TRUE,https://lichess.org/training/URqFA
UUE07,3k4/pp6/2p4p/3p2pP/3q2P1/PP3Bb1/2P1QRKr/8 w - - 2 44,g2g3 d4f4,1276,76,92,643,endgame mate mateIn1 oneMove,https://lichess.org/sMssNbaY#87,,TRUE,https://lichess.org/training/UUE07
UUOQ2,2r3k1/6pp/p2Qp3/3b4/2P3P1/Kpq4P/1R2B3/8 w - - 0 35,c4d5 c3a5 a3b3 c8c3,1654,75,99,814,endgame mate mateIn2 short,https://lichess.org/x5Zuh88R#69,,TRUE,https://lichess.org/training/UUOQ2
UUcvs,1q2r1k1/R5p1/1P3p2/2Qp1P2/7p/3P3P/1B4P1/6K1 w - - 9 49,b6b7 e8e1 g1f2 b8g3,1381,75,81,256,endgame mate mateIn2 short,https://lichess.org/vPV2PfBR#97,,TRUE,https://lichess.org/training/UUcvs
UXWNz,r2R1k2/1b3pr1/p3p3/1pq1P1P1/2p1P2P/5Q2/PPP5/2KR4 b - - 6 26,a8d8 d1d8 f8e7 f3f6,1197,253,100,6,endgame mate mateIn2 short,https://lichess.org/gIDSmfeQ/black#52,,TRUE,https://lichess.org/training/UXWNz
UaLYs,6k1/6p1/3p3p/p4P2/Pr6/QP3B2/2P2qPn/3R3K w - - 0 32,h1h2 b4h4,1058,76,86,472,endgame mate mateIn1 oneMove,https://lichess.org/4KwNloGr#63,,TRUE,https://lichess.org/training/UaLYs
UbZtD,4r2k/ppp3p1/2np2Qp/8/3P3N/2P3Pq/PP2r2P/R4RK1 w - - 3 22,f1f2 e2e1 a1e1 e8e1 f2f1 e1f1,1004,83,100,53,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/wOGLyhiY#43,,TRUE,https://lichess.org/training/UbZtD
UcVzo,r1b3k1/ppr2p1p/4pRBQ/3p4/8/8/PqP3PP/5R1K b - - 0 23,h7g6 f6g6 f7g6 f1f8,1886,75,92,573,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/UCHalplk/black#46,,TRUE,https://lichess.org/training/UcVzo
UdXbA,4rRk1/ppq1r3/2p3bQ/3p4/3P4/4P2P/PP6/5RK1 b - - 5 31,e8f8 f1f8,1605,78,85,909,endgame mate mateIn1 oneMove,https://lichess.org/gLeyz0Js/black#62,,TRUE,https://lichess.org/training/UdXbA
UeETk,5kr1/1q4p1/1p3N2/p3n3/7Q/P3P2P/1P3PP1/3R2K1 b - - 0 27,g7f6 h4f6 e5f7 d1d8,1415,75,98,1218,endgame fork mate mateIn2 pin short,https://lichess.org/uRKazVmU/black#54,,TRUE,https://lichess.org/training/UeETk
UhAee,1r4k1/5p2/2p2Qp1/3q4/7P/6P1/p4P1K/4R3 b - - 1 36,b8b1 e1e8 g8h7 e8h8,1068,79,63,91,endgame mate mateIn2 short,https://lichess.org/SIXrQou0/black#72,,TRUE,https://lichess.org/training/UhAee
UiXPO,8/ppr2rkp/6p1/3R1p2/2P1p3/1P4qP/PQ4P1/3R2K1 b - - 9 31,g7g8 d5d8 f7f8 d8f8 g8f8 b2f6 c7f7 d1d8,2301,76,91,677,attraction endgame mate mateIn4 veryLong,https://lichess.org/DTyTThTZ/black#62,,TRUE,https://lichess.org/training/UiXPO
UoM3v,5r2/1P4kp/2Bp2p1/p7/P1Q5/3p2bq/3R1P2/6K1 w - - 0 39,f2g3 f8f1,1535,75,97,1478,endgame mate mateIn1 oneMove,https://lichess.org/DfjmH0eP#77,,TRUE,https://lichess.org/training/UoM3v
Uty9B,rr6/5p1k/4b1p1/1Q5p/4PPPP/1PqB4/P7/1K1R3R w - - 1 27,b5e5 b8b3 a2b3 a8a1,1745,75,97,1731,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/VjB2TOWD#53,,TRUE,https://lichess.org/training/Uty9B
UuQAR,4b1k1/1r3p2/5RpQ/2pPr3/2PpP3/p1qB2P1/P6P/5RK1 b - - 2 34,c3d3 f6g6 f7g6 f1f8,1688,76,99,560,clearance kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/saJ7l01r/black#68,,TRUE,https://lichess.org/training/UuQAR
Uwc4N,5r1k/1p1P3p/1Q6/2pP2p1/7K/2N3P1/1B5P/4Rq2 w - - 0 34,h4g4 f1f5 g4h5 f5h3 h5g5 f8f5,2382,92,89,416,endgame long mate mateIn3,https://lichess.org/1sZv8F01#67,,TRUE,https://lichess.org/training/Uwc4N
UwfXt,4r1k1/2p3pp/2n1r3/2Q2p2/1pP5/1P1p1PqP/1B1N1Rn1/R4K2 w - - 0 29,f2g2 e6e1 a1e1 e8e1,1031,79,94,73,mate mateIn2 middlegame short,https://lichess.org/z0EPPJRZ#57,,TRUE,https://lichess.org/training/UwfXt
UzcRH,8/p1p4p/1p4p1/5p2/5q1k/P1Q2PR1/5r1P/6K1 b - - 5 32,f2d2 c3f6 h4h5 g3h3 f4h4 h3h4,1542,76,94,1985,endgame long mate mateIn3,https://lichess.org/o6A8Zkj2/black#64,,TRUE,https://lichess.org/training/UzcRH
V2V9d,4r1k1/2R3p1/1p1p3p/pB1P1p2/5Q1P/P4nPq/1P3P2/6K1 w - - 2 37,f4f3 e8e1 b5f1 e1f1,1394,75,93,1598,endgame master mate mateIn2 short,https://lichess.org/fkuVgNA3#73,,TRUE,https://lichess.org/training/V2V9d
V3E1u,3rr3/6pQ/p4b2/2p1P1Nk/8/4q2P/6P1/5R1K b - - 0 30,h5g5 f1f5,1822,99,68,75,endgame mate mateIn1 oneMove,https://lichess.org/8EA3OdRX/black#60,,TRUE,https://lichess.org/training/V3E1u
V4zV9,2kr4/1p3p1p/p1p1p3/2Q1B3/4P1p1/6Pq/PPR3KP/8 w - - 4 32,g2g1 d8d1 g1f2 h3f1 f2e3 f1f3,1617,77,86,273,endgame long mate mateIn3,https://lichess.org/BBeym4P6#63,,TRUE,https://lichess.org/training/V4zV9
V67cw,4r1k1/5p2/2b3p1/7p/P1Q5/6qP/1PR3P1/6K1 w - - 4 37,c4c6 e8e1,845,79,100,161,endgame mate mateIn1 oneMove,https://lichess.org/Pq3tqL9G#73,,TRUE,https://lichess.org/training/V67cw
V9MW9,4r1k1/2r1P2p/p4RpQ/1p1p4/1P1q4/P1n5/2P3PP/5R1K b - - 0 31,c7e7 f6f8 e8f8 f1f8,1162,106,79,34,mate mateIn2 middlegame short,https://lichess.org/rm2UM3S0/black#62,,TRUE,https://lichess.org/training/V9MW9
VBYHJ,1k6/p3qp2/BpRb4/8/3P4/1R6/PP1NKp2/6rQ w - - 3 30,e2f2 e7e1 f2f3 g1g3,1963,75,100,101,fork mate mateIn2 middlegame short,https://lichess.org/uyOEQZSb#59,,TRUE,https://lichess.org/training/VBYHJ
VEIEG,2rRkr2/5p2/p3pQ1p/2q1P3/1p6/6P1/PP4P1/1K1R4 b - - 1 30,c8d8 d1d8,622,81,100,115,endgame master mate mateIn1 oneMove,https://lichess.org/vV4Z6Vyn/black#60,,TRUE,https://lichess.org/training/VEIEG
VEVMp,r2q1knr/1b1pb3/ppp1p2p/4P1pQ/3PP3/3BB3/PPPN2PP/5RK1 b - - 3 13,f8g7 f1f7,875,102,100,30,mate mateIn1 middlegame oneMove,https://lichess.org/i2eIHvMS/black#26,French_Defense French_Defense_Normal_Variation,TRUE,https://lichess.org/training/VEVMp
VGYuF,3r1k2/5Pp1/p7/1p2P1Q1/2pr2p1/P5Pq/5R1P/1R4K1 w - - 0 33,e5e6 d4d1 b1d1 d8d1 f2f1 d1f1,568,83,75,136,endgame long mate mateIn3,https://lichess.org/1GcEhDqE#65,,TRUE,https://lichess.org/training/VGYuF
VGyv3,4r3/pp1kbQ2/1q3p2/1B1P1P1p/1p6/1P3P2/P6P/1KR5 b - - 2 30,b6b5 f7e6 d7d8 c1c8,994,77,100,316,endgame master mate mateIn2 short,https://lichess.org/u126Xp8n/black#60,,TRUE,https://lichess.org/training/VGyv3
VHFCd,2r5/pp2bkR1/1q1p3Q/3P4/8/7P/PP6/7K b - - 6 29,f7e8 g7g8 e8d7 h6e6 d7c7 g8c8,2107,77,92,5098,endgame exposedKing long mate mateIn3,https://lichess.org/iQLF9ntp/black#58,,TRUE,https://lichess.org/training/VHFCd
VK5sX,8/6pk/4r2p/Q4R2/4p3/2N2nPq/PP5P/5RK1 w - - 7 35,f1f3 e4f3 f5f3 e6e1 f3f1 e1f1,942,81,100,118,clearance endgame long mate mateIn3,https://lichess.org/OtUOFd1Q#69,,TRUE,https://lichess.org/training/VK5sX
VKd13,4r1k1/pp3p2/2p2Qp1/2q2b2/3N2p1/4PP2/PP4P1/K6R b - - 3 28,c5e5 h1h8,1410,76,93,1050,endgame mate mateIn1 oneMove,https://lichess.org/byxbaWhy/black#56,,TRUE,https://lichess.org/training/VKd13
VKxJw,8/1b4k1/6P1/p4Bp1/1p2P1Kr/2q3Q1/P7/6R1 w - - 4 49,g4g5 c3f6,1340,75,99,2464,endgame mate mateIn1 oneMove,https://lichess.org/fNoa9q5F#97,,TRUE,https://lichess.org/training/VKxJw
VP8zx,r7/pq4pp/1p2Qrk1/6R1/1P6/P4P2/5P1P/R6K b - - 0 28,g6g5 a1g1 g5f4 e6e3 f4f5 g1g5,2212,82,90,298,endgame long master mate mateIn3,https://lichess.org/NH2bMjTr/black#56,,TRUE,https://lichess.org/training/VP8zx
VU14y,8/5Q2/Rq1p2p1/2p1p3/1kB5/1PnPn1P1/1K6/3r4 b - - 7 45,e3c4 f7c4,1548,79,81,148,endgame mate mateIn1 oneMove,https://lichess.org/grNCiR9u/black#90,,TRUE,https://lichess.org/training/VU14y
VW0hN,r2q3r/pp2pQbk/2p2n2/4P3/3p4/5R2/PPP3PP/R1B3K1 b - - 0 18,d8e8 f3h3 f6h5 h3h5,1148,75,100,1279,mate mateIn2 middlegame short,https://lichess.org/Ov2PPvtJ/black#36,Pirc_Defense Pirc_Defense_Other_variations,TRUE,https://lichess.org/training/VW0hN
VX6xO,2bk4/6R1/3Qpr2/1q1p4/3P1p2/4P2p/2P2PpP/6K1 b - - 7 46,c8d7 g7g8 f6f8 g8f8,1447,75,97,705,endgame mate mateIn2 short,https://lichess.org/L1nw5v4c/black#92,,TRUE,https://lichess.org/training/VX6xO
VXhCX,2r2r2/p4pk1/n1p1p1p1/q1P1P2R/1p1P1Q2/P6P/1P4P1/6K1 b - - 0 33,f8h8 f4f6 g7g8 h5h8,1116,74,95,485,endgame mate mateIn2 short,https://lichess.org/H38nwgIZ/black#66,,TRUE,https://lichess.org/training/VXhCX
VZcQR,2rk1b1r/p1p1p3/2QP1p2/5qpp/4R3/4K3/P2R3P/8 b - - 0 30,c7d6 d2d6 e7d6 e4e8,1699,74,97,2182,mate mateIn2 middlegame sacrifice short,https://lichess.org/CUoWHU4N/black#60,,TRUE,https://lichess.org/training/VZcQR
VeYO2,3k4/1Q3pp1/p2p1qp1/3Pp1r1/1P6/P2P3r/5PP1/R4RK1 w - - 1 25,a1c1 g5g2 g1g2 f6f3 g2g1 h3h1,1801,74,97,150,attraction endgame kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/zJsfFE05#49,,TRUE,https://lichess.org/training/VeYO2
Vgyx4,8/r5kp/2Q5/5p2/1p2p3/1P2q3/1KPN3P/3R1B2 w - - 0 36,d2c4 e3c3 b2c1 a7a1,1193,75,100,193,endgame mate mateIn2 short,https://lichess.org/BK6Nsf5E#71,,TRUE,https://lichess.org/training/Vgyx4
Vh244,4r2k/pR3pp1/2p5/P5q1/8/5BbP/2Q2P2/6K1 w - - 0 32,f2g3 g5g3 f3g2 e8e1,1293,75,100,158,endgame fork mate mateIn2 pin short,https://lichess.org/sKszdbXb#63,,TRUE,https://lichess.org/training/Vh244
