PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,puzzle_ref,Valid,Quadrant,Mating_Color,Mated_King,Knight_Attack,Knight_Restrict,Bishop_Restrict
BYOaC,r2qkbnr/ppp2p1p/3p4/4N1p1/2B1Ppb1/2NP4/PPP3PP/R1BQ1RK1 b kq - 0 8,g4d1 c4f7 e8e7 c3d5,1325,78,81,639,attackingF2F7 mate mateIn2 opening short,https://lichess.org/4aYDTh4V/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit,https://lichess.org/training/BYOaC,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
oiyR4,r2qkbnr/ppp3pp/3p4/4N3/2BnPpbP/1PNP4/P1P2PP1/R1BQK2R b KQkq - 0 8,g4d1 c4f7 e8e7 c3d5,1325,75,99,1608,mate mateIn2 opening short,https://lichess.org/rGpL3sGQ/black#16,Italian_Game Italian_Game_Paris_Defense,https://lichess.org/training/oiyR4,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
tLawA,r2qkb1r/pppn1ppp/3p4/4N3/2B1P1b1/2N5/PPPP1P2/R1BQ1RK1 b kq - 0 9,g4d1 c4f7 e8e7 c3d5,1326,75,98,3970,attackingF2F7 mate mateIn2 opening short,https://lichess.org/uribBl1D/black#18,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/tLawA,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
DCnG9,rn1qkbnr/1pp2pp1/p2p3p/4N3/P1B1P1b1/2N5/1PPP1PPP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1326,84,79,71,attackingF2F7 mate mateIn2 opening short,https://lichess.org/vC6lTIi3/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/DCnG9,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
IsbPq,rn1qkbnr/1pp2pp1/p2p4/4N2p/2B1PPb1/2N5/PPPP2PP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1327,75,85,332,attackingF2F7 mate mateIn2 opening short,https://lichess.org/eCP2adWL/black#12,Bishops_Opening Bishops_Opening_Other_variations,https://lichess.org/training/IsbPq,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
c6HHV,r2qkbnr/ppp2p1p/3p4/4N1pb/3nPp2/1BN4P/PPPP2P1/R1BQ1RK1 b kq - 4 9,h5d1 b3f7 e8e7 c3d5,1328,81,90,771,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/zc77CmHY/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit,https://lichess.org/training/c6HHV,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
mVRpI,r2qkbnr/ppp2Bpp/3p4/4N3/3nPp2/2N5/PPPP2PP/R1Bb1RK1 b kq - 0 8,e8e7 c3d5,1328,79,64,100,mate mateIn1 oneMove opening,https://lichess.org/ajkOgULT/black#16,,https://lichess.org/training/mVRpI,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
q1pFZ,r2qkbnr/1pp3pp/p1np1p2/4N2b/P1B1P3/2N4P/1PPP1PP1/R1BQ1RK1 b kq - 0 8,h5d1 c4f7 e8e7 c3d5,1329,77,85,787,mate mateIn2 opening short,https://lichess.org/Qp33yoL8/black#16,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/q1pFZ,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
yNNkm,r2qkbnr/ppp2ppp/3p4/4N3/2BnP1b1/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1329,77,86,1806,attackingF2F7 mate mateIn2 opening short,https://lichess.org/hbyswBKC/black#12,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,https://lichess.org/training/yNNkm,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
K217e,rn1qkbnr/ppp2pp1/3p3p/4N2b/2B1P3/2N4P/PPPP1PP1/R1BQ1RK1 b kq - 0 7,h5d1 c4f7 e8e7 c3d5,1329,76,84,505,attackingF2F7 mate mateIn2 opening short,https://lichess.org/Pfj3vP7b/black#14,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/K217e,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
jLHJw,r2qkbnr/ppp2Bp1/2np3p/4N3/4P3/1PN4P/P1PP1PP1/R1BbK2R b KQkq - 0 8,e8e7 c3d5,1329,75,98,999,mate mateIn1 oneMove opening,https://lichess.org/0yQVDeLr/black#16,Italian_Game Italian_Game_Paris_Defense,https://lichess.org/training/jLHJw,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
Su7pE,r2qkbnr/ppp2ppp/3p4/3BN3/3nP1b1/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 6,g4d1 d5f7 e8e7 c3d5,1329,77,84,125,attackingF2F7 mate mateIn2 opening short,https://lichess.org/p2TTeLJy/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/Su7pE,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
OFAiZ,rn1qkbnr/ppp2p2/3p3p/4N1p1/2B1P1b1/2N5/PPPP1P1P/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1330,80,91,1701,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/FrtXBCdy/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/OFAiZ,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
kYmwd,r2qkbnr/ppp4p/2np1p2/4N1p1/2BPPpb1/2N5/PPP3PP/R1BQ1RK1 b kq - 4 8,g4d1 c4f7 e8e7 c3d5,1330,75,97,5491,mate mateIn2 opening short,https://lichess.org/U9ZhP7J2/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit,https://lichess.org/training/kYmwd,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
0BfYd,r2qkbnr/ppp2p1p/3p4/4N1pb/2BnPp2/2NP3P/PPP3P1/R1BQ1RK1 b kq - 4 9,h5d1 c4f7 e8e7 c3d5,1330,75,90,777,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/mqnBzOEH/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense,https://lichess.org/training/0BfYd,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
tfInF,r3k2r/ppp1qp1p/2np4/2b1pPB1/4n3/3P4/PPP3PP/R2QKB1R w KQkq - 0 12,g5e7 c5f2 e1e2 c6d4,1331,79,94,522,mate mateIn2 middlegame short,https://lichess.org/Vx3EO8Wr#23,Kings_Pawn_Game Kings_Pawn_Game_Alapin_Opening,https://lichess.org/training/tfInF,True,bottom-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
