PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Queen_Bishop,puzzle_ref
ltq3z,r4rk1/1pp2ppp/p1np4/8/3PP1nb/1R3N1q/PPB2P2/RNBQ2K1 w - - 4 15,c1f4 h4f2,1085,77,90,1782,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kI8Cd0Vu#29,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,True,https://lichess.org/training/ltq3z
luWke,8/5pk1/Q4b2/7p/8/1B3qP1/P7/5K2 w - - 1 46,f1e1 f6c3,1232,78,90,205,endgame master mate mateIn1 oneMove,https://lichess.org/K4rJY5y5#91,,True,https://lichess.org/training/luWke
lv4IZ,2r5/5k2/2qp4/5QB1/1p6/1P6/1pP5/1K6 b - - 2 37,f7e8 f5e6 e8f8 g5h6,1668,77,85,60,endgame mate mateIn2 short,https://lichess.org/5n9328ae/black#74,,True,https://lichess.org/training/lv4IZ
lv6Mt,2kr1b1r/p2nn3/1ppQ1p1q/3P4/6PP/2PB4/PP3P2/R3K2R b KQ - 2 19,f6f5 d3a6,1608,86,90,1632,mate mateIn1 middlegame oneMove,https://lichess.org/hXHH5Z5l/black#38,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation,True,https://lichess.org/training/lv6Mt
lyaDG,r4rk1/1pp2ppp/p1np4/4p3/4P1nb/1BPP1NNq/PP3P2/R1BQR1K1 w - - 4 14,g3f5 h4f2,1324,122,85,47,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/rXGrpCbi#27,Italian_Game Italian_Game_Two_Knights_Defense,True,https://lichess.org/training/lyaDG
lzHs8,6k1/p4p2/1p2NQp1/6Pp/b6P/2P1P1q1/P7/R1Rr1K2 w - - 3 33,c1d1 a4b5 c3c4 b5c4 d1d3 c4d3,1548,74,93,271,endgame exposedKing long mate mateIn3,https://lichess.org/gjb9Wa6I#65,,True,https://lichess.org/training/lzHs8
m7C4W,2k1rq1r/pp2n3/2pQp3/2R2p2/3P2p1/2PB2Pp/PP3P1P/R5K1 b - - 1 25,e7d5 c5c6 b7c6 d3a6,1821,74,94,509,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/UGstMBFX/black#50,,True,https://lichess.org/training/m7C4W
mDg3w,2Q2b1r/4kqpp/2p5/2p5/5N2/2B1P3/7P/6K1 b - - 1 24,f7e8 c8e6 e7d8 c3a5,1340,75,93,1045,endgame mate mateIn2 short,https://lichess.org/rf0xeWap/black#48,,True,https://lichess.org/training/mDg3w
mH15t,2b2k1r/5ppp/2Qb4/1N1P4/2K4q/8/PP3nPP/R1B4R w - - 3 18,c4b3 h4b4 b3c2 c8f5,1366,78,70,454,mate mateIn2 middlegame short,https://lichess.org/dM58UULr#35,Queens_Gambit_Declined Queens_Gambit_Declined_Austrian_Defense,True,https://lichess.org/training/mH15t
mL0lt,r5k1/ppp3pp/3p4/2b1n3/8/1PN2P1q/PBP1QP2/R2R2K1 w - - 0 18,e2f1 e5f3,818,84,95,1271,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OTpeRrYz#35,Three_Knights_Opening Three_Knights_Opening_Other_variations,True,https://lichess.org/training/mL0lt
mOPxE,r6q/8/p2Q1p2/4p3/4P2b/1P1B4/k1PK1P2/R7 b - - 1 31,a2a1 d6a3 a1b1 c2c3,1502,76,87,306,discoveredAttack endgame mate mateIn2 short,https://lichess.org/vPSFdzqd/black#62,,True,https://lichess.org/training/mOPxE
mRtYQ,1k6/pp1q1pQ1/2p5/3p4/3P1b2/2P2N2/PP2P1K1/7r w - - 0 29,g2h1 d7h3 h1g1 f4e3,1359,74,78,829,endgame mate mateIn2 short,https://lichess.org/mxG7kDM5#57,,True,https://lichess.org/training/mRtYQ
mScnX,r1bq1knr/ppp1b2p/6BB/3pN2Q/3n4/8/PP3PPP/RN2K2R b KQ - 2 11,g8h6 h5h6 f8g8 g6f7,1368,76,85,548,mate mateIn2 opening short,https://lichess.org/GxuZzkgb/black#22,French_Defense French_Defense_Advance_Variation,True,https://lichess.org/training/mScnX
