PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,RookMoves,puzzle_ref
Y4gwO,4rk2/2P3RR/7P/8/2r5/P2n4/5KP1/8 w - - 2 53,f2g3 e8e3 g3h2 c4h4 h2g1 e3e1,1066,77,100,370,endgame exposedKing long mate mateIn3,https://lichess.org/b6fa5NbO#105,,True,2,https://lichess.org/training/Y4gwO
9D8M9,3r1k2/2p2p2/4pQ2/1p1rP3/5pP1/P4P2/1P3K2/5R2 w - - 9 41,f1h1 d5d2 f2g1 d2d1 g1g2 d8d2 g2h3 d1h1,1067,85,94,440,deflection endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/0hrCcx4N#81,,True,2,https://lichess.org/training/9D8M9
KSlXp,7r/1k6/pp2N3/2p1pP2/P7/3P2P1/1PP4r/5RK1 w - - 0 27,f1f3 h2h1 g1f2 h8h2 f2e3 h1e1,1067,97,89,38,endgame exposedKing long mate mateIn3,https://lichess.org/EWcHqLxq#53,,True,2,https://lichess.org/training/KSlXp
7uJcZ,4rn1k/1pR4p/1R6/6p1/P7/1B3p1P/P3r1P1/6K1 w - - 0 31,g2f3 e2e1 g1f2 e8e2 f2g3 e1g1,1067,78,78,127,endgame exposedKing long mate mateIn3,https://lichess.org/I8yTclgV#61,,True,2,https://lichess.org/training/7uJcZ
GCnHD,3k1r2/p7/1pQ3p1/2pP4/4p3/1PB1Pr2/P7/4K3 w - - 6 42,c3e5 f3f1 e1d2 f8f2 d2c3 f1c1,1068,81,84,467,endgame exposedKing long mate mateIn3,https://lichess.org/Dp2VcNMn#83,,True,2,https://lichess.org/training/GCnHD
WJZEk,6k1/8/3p1pp1/p2P3p/Pq5P/1rn2P2/Q1R3P1/K1R5 b - - 3 30,c3a2 c2c8 g8g7 c1c7 g7h6 c8h8,1068,77,100,108,endgame exposedKing long mate mateIn3,https://lichess.org/ycyOIXBD/black#60,,True,2,https://lichess.org/training/WJZEk
kEE15,1k1r2r1/nb5p/1Q6/8/2P5/6N1/5PPP/R5K1 w - - 1 27,a1a7 d8d1 g3f1 g8g2 g1h1 d1f1,1069,75,100,722,deflection endgame long mate mateIn3,https://lichess.org/zuiQzotE#53,,True,2,https://lichess.org/training/kEE15
AC9gs,6k1/8/5pp1/4p3/2R1PnBP/r6P/6r1/2R2K2 b - - 3 45,a3a2 c4c8 g8g7 c1c7 g7h6 c8h8,1069,87,89,521,endgame exposedKing long mate mateIn3,https://lichess.org/QtqyMTEw/black#90,,True,2,https://lichess.org/training/AC9gs
6jVHk,r7/ppk1rp1p/1P2p1p1/8/2pR4/2P5/1PP2PPP/3R2K1 b - - 0 24,a7b6 d4c4 c7b8 d1d8 b8a7 c4a4,1070,77,89,315,endgame long mate mateIn3 rookEndgame,https://lichess.org/kIr5FeIy/black#48,,True,2,https://lichess.org/training/6jVHk
eBVR6,5rk1/pp3p2/6Q1/3P4/3n1R1P/6P1/PP1rq1BK/5R2 b - - 0 29,f7g6 f4f8 g8h7 f1f7 h7h6 f8h8,1070,79,59,109,exposedKing long mate mateIn3 middlegame,https://lichess.org/SQjXLxWF/black#58,,True,2,https://lichess.org/training/eBVR6
