PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
Fm9JP,6kQ/1pq2pb1/4p1p1/1p1pP3/5P2/7R/PPr3P1/1K5R b - - 3 27,g7h8 h3h8 g8g7 h1h7,729,79,88,76,endgame mate mateIn2 short,https://lichess.org/gOkFm67y/black#54,,True,https://lichess.org/training/Fm9JP
U8H7K,2k5/1p1R1p2/2p5/K7/2P4r/5r2/PP5P/3R4 b - - 0 22,h4c4 d7d8 c8c7 d1d7,730,94,68,53,endgame mate mateIn2 rookEndgame short,https://lichess.org/Qpk6HLmh/black#44,,True,https://lichess.org/training/U8H7K
9rbqP,4rk2/1R6/p6p/2P5/PP3p2/5R2/4rKPP/8 w - - 2 45,f2f1 e2e1 f1f2 e8e2,731,91,95,1830,endgame mate mateIn2 rookEndgame short,https://lichess.org/iqVxx9FY#89,,True,https://lichess.org/training/9rbqP
iyAd1,3r2k1/2p1Qp1p/3r1P2/6P1/p7/P6P/1PP5/2K5 w - - 3 36,c2c3 d6d1 c1c2 d8d2,733,79,100,273,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/2Aly5L5L#71,,True,https://lichess.org/training/iyAd1
ZAbUp,2k2b1r/pp1r1ppp/2Qpq3/8/1R3B2/2P5/5PPP/1R4K1 b - - 0 20,b7c6 b4b8 c8c7 b1b7,735,88,91,343,mate mateIn2 middlegame queensideAttack short,https://lichess.org/Q2ABx2hx/black#40,,True,https://lichess.org/training/ZAbUp
27gmA,6k1/pp3r1p/2p3Q1/P2pP3/1PbPn1PR/2P5/5r2/6KR b - - 0 41,h7g6 h4h8 g8g7 h1h7,737,89,94,407,endgame mate mateIn2 short,https://lichess.org/fJdYv76V/black#82,,True,https://lichess.org/training/27gmA
7Q69M,2r1k3/3R1p2/p3r1p1/1p4P1/5K2/PP5P/3R4/8 b - - 0 39,c8c3 d7d8 e8e7 d2d7,738,80,93,634,endgame mate mateIn2 rookEndgame short,https://lichess.org/6RNNjE08/black#78,,True,https://lichess.org/training/7Q69M
NOYzX,k2r4/2R5/1R5p/1p4p1/p4p2/P1P2P2/1PKr2PP/8 w - - 14 38,c2c1 d2d1 c1c2 d8d2,738,90,96,463,endgame mate mateIn2 rookEndgame short,https://lichess.org/5f16v0qz#75,,True,https://lichess.org/training/NOYzX
XJ1Sr,6k1/5p2/4pPp1/pp6/5rr1/8/PP2K2R/1B5R b - - 0 38,f4f6 h2h8 g8g7 h1h7,739,91,65,50,endgame mate mateIn2 short,https://lichess.org/m8CCOiXL/black#76,,True,https://lichess.org/training/XJ1Sr
nS9vD,8/1R5p/1p2k3/1N1pr3/R7/5PP1/4rKP1/8 w - - 1 47,f2f1 e2e1 f1f2 e5e2,743,112,94,452,endgame mate mateIn2 short,https://lichess.org/MYxR8jzU#93,,True,https://lichess.org/training/nS9vD
woObl,8/4k3/4r3/pR3R2/P4p1p/5P1P/4r1P1/5K2 w - - 7 46,f5f4 e2e1 f1f2 e6e2,744,78,100,246,endgame mate mateIn2 rookEndgame short,https://lichess.org/ZjH23sLW#91,,True,https://lichess.org/training/woObl
8Yall,6k1/5p2/4p1p1/6P1/1prr4/p2pK2R/7R/8 b - - 1 57,a3a2 h3h8 g8g7 h2h7,744,97,95,335,endgame mate mateIn2 rookEndgame short,https://lichess.org/DJfW6koA/black#114,,True,https://lichess.org/training/8Yall
D0OtN,2R3R1/p2k1r2/1p6/8/4p2P/2P1P3/4Kr2/8 w - - 0 43,e2e1 f2f1 e1e2 f7f2,747,78,100,82,endgame mate mateIn2 rookEndgame short,https://lichess.org/uXh4WRcF#85,,True,https://lichess.org/training/D0OtN
YIhMq,6k1/1pr2r1p/4p1Q1/1p1pPpP1/3q1P1R/7R/P5PK/8 b - - 0 33,h7g6 h4h8 g8g7 h3h7,751,82,96,2107,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/hDSZAHrq/black#66,,True,https://lichess.org/training/YIhMq
UXWZU,5k2/5pp1/prp3p1/4R3/8/1P4PP/P2r1P2/4R1K1 b - - 6 29,f7f6 e5e8 f8f7 e1e7,752,105,94,788,endgame mate mateIn2 rookEndgame short,https://lichess.org/nFH8DAnv/black#58,,True,https://lichess.org/training/UXWZU
0rPPK,6k1/5r1p/p1p3B1/1b2p1P1/3r4/4K3/7R/7R b - - 0 29,h7g6 h2h8 g8g7 h1h7,752,86,94,279,endgame mate mateIn2 short,https://lichess.org/uo9xxy6T/black#58,,True,https://lichess.org/training/0rPPK
86Afy,2r5/2R1bkpp/p1K2p2/8/2r5/5N2/P4PPP/4R3 w - - 5 31,c6d7 c4c7,753,86,78,153,endgame mate mateIn1 oneMove,https://lichess.org/anRJiLP6#61,,True,https://lichess.org/training/86Afy
ffFpW,6k1/r1q2r1p/1p2p1Q1/p2pPp2/5P2/2P3P1/PP3KPR/7R b - - 0 24,h7g6 h2h8 g8g7 h1h7,756,82,100,154,endgame kingsideAttack mate mateIn2 queenRookEndgame short,https://lichess.org/Vqut6Dcm/black#48,,True,https://lichess.org/training/ffFpW
Tgrku,2r1k3/5p2/p1Q1p1q1/1p2P3/8/2N3r1/PPPR2P1/3R2K1 b - - 0 27,c8c6 d2d8 e8e7 d1d7,761,81,85,307,endgame mate mateIn2 short,https://lichess.org/VNDz81u7/black#54,,True,https://lichess.org/training/Tgrku
6cqRw,6k1/pp3p2/2prrPp1/8/8/1P5R/P6R/6K1 b - - 5 33,e6f6 h3h8 g8g7 h2h7,762,82,81,162,endgame mate mateIn2 rookEndgame short,https://lichess.org/Wq6AEERX/black#66,,True,https://lichess.org/training/6cqRw
nEvGa,8/pp4Rk/7p/1P5q/P4KR1/8/8/8 b - - 1 42,h7h8 g7g8 h8h7 g4g7,764,78,97,2384,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/3o5GeoE4/black#84,,True,https://lichess.org/training/nEvGa
58Hxe,3r2k1/1p2rp2/pn2p1p1/3pP3/3P2P1/2P4R/6K1/7R b - - 1 32,e7e8 h3h8 g8g7 h1h7,765,89,95,1295,endgame mate mateIn2 short,https://lichess.org/jvGPRaHK/black#64,,True,https://lichess.org/training/58Hxe
CZNyJ,8/8/7p/1r2r1k1/1pKR2P1/1Pp5/2PR4/8 w - - 2 54,d2d3 e5c5,768,78,100,446,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/yMDEoxGL#107,,True,https://lichess.org/training/CZNyJ
ZrPA7,r7/p2R2p1/1pk4p/2p2q2/2P1Q3/8/P5PP/2BR2K1 b - - 0 35,f5e4 d1d6,768,267,67,26,endgame mate mateIn1 oneMove,https://lichess.org/dSd7RbIv/black#70,,True,https://lichess.org/training/ZrPA7
kEKji,7r/pppk4/3p4/5Rp1/2P1R3/1P3pPr/P4P2/6K1 w - - 3 32,f5f3 h3h1 g1g2 h8h2,769,80,71,64,endgame mate mateIn2 rookEndgame short,https://lichess.org/WwAbEU0E#63,,True,https://lichess.org/training/kEKji
COgQK,5k2/4R1p1/5p1p/5P2/PN4P1/8/1r5r/K3R3 b - - 1 39,b2b4 e7e8 f8f7 e1e7,770,80,100,693,endgame mate mateIn2 rookEndgame short,https://lichess.org/Qc948WjK/black#78,,True,https://lichess.org/training/COgQK
Rs5yU,r3r1k1/p2n1p2/1p2b1p1/6P1/2p5/5P2/PKP1N2R/3B3R b - - 0 28,d7c5 h2h8 g8g7 h1h7,770,103,100,18,mate mateIn2 middlegame short,https://lichess.org/3UAwR6DY/black#56,,True,https://lichess.org/training/Rs5yU
a6xm0,5k2/p1p1R1pp/1pr2p2/7P/8/8/3r1PP1/4R1K1 b - - 0 30,h7h6 e7e8 f8f7 e1e7,771,92,93,153,endgame mate mateIn2 rookEndgame short,https://lichess.org/S0FClJn3/black#60,,True,https://lichess.org/training/a6xm0
uCgvh,2k5/1p1r2rp/Q1p4b/P2pPppq/2P2P2/1R5P/3B1P2/1R3K2 b - - 2 33,b7a6 b3b8 c8c7 b1b7,772,82,88,211,mate mateIn2 middlegame queensideAttack short,https://lichess.org/XLgkLzah/black#66,,True,https://lichess.org/training/uCgvh
7dfOn,r4r1k/3n2Rp/2p2p2/4pp2/4P3/pp1P3R/Q5PP/7K b - - 0 41,b3a2 h3h7,772,78,86,277,endgame mate mateIn1 oneMove,https://lichess.org/qxrIIs9s/black#82,,True,https://lichess.org/training/7dfOn
dM1Sx,8/p7/8/3k4/1P3R1P/4RpP1/5P1K/r1r5 w - - 9 49,f4f3 c1h1 h2g2 a1g1,774,78,100,211,endgame mate mateIn2 rookEndgame short,https://lichess.org/o5w4B5Su#97,,True,https://lichess.org/training/dM1Sx
dIKlh,7r/2p4r/2k5/6p1/4R3/2PR1pP1/1P3P2/6K1 w - - 7 38,d3f3 h7h1 g1g2 h8h2,776,100,67,25,endgame mate mateIn2 rookEndgame short,https://lichess.org/7oZu548U#75,,True,https://lichess.org/training/dIKlh
SvcHE,5k2/p1r1r1pB/2p1pp1Q/1p6/1P1q3P/P4P2/5PR1/6RK b - - 0 31,g7h6 g2g8 f8f7 g1g7,776,79,100,303,endgame mate mateIn2 short,https://lichess.org/60Up70Kv/black#62,,True,https://lichess.org/training/SvcHE
fEiAC,3r2k1/5p1p/1p6/5p2/1PP1p3/R3R3/2PrKPPP/8 w - - 1 27,e2e1 d2d1 e1e2 d8d2,777,81,72,190,endgame mate mateIn2 rookEndgame short,https://lichess.org/NFfvL40l#53,,True,https://lichess.org/training/fEiAC
n7lP1,8/8/2r2k1p/4p1p1/R4p2/1prP1P2/2P1R1PP/3K4 w - - 0 43,c2b3 c3c1 d1d2 c6c2,777,82,97,2775,endgame mate mateIn2 rookEndgame short,https://lichess.org/J2PCfatw#85,,True,https://lichess.org/training/n7lP1
dareC,4r3/1pk5/p7/8/PP6/2PR1RPp/4rK1P/8 w - - 7 31,f2f1 e2e1 f1f2 e8e2,778,76,78,82,endgame mate mateIn2 rookEndgame short,https://lichess.org/4TrRV90h#61,,True,https://lichess.org/training/dareC
4vjmf,2k4r/pp3p1r/2n1b3/1N1pPp2/3P1Pp1/1P4q1/P2Q1R1P/R3N1K1 w - - 0 23,h2g3 h7h1 g1g2 h8h2,781,76,88,271,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/SO8cXHui#45,,True,https://lichess.org/training/4vjmf
Acj1E,4Q3/6p1/8/5kBK/5Pr1/P7/7r/R7 w - - 7 57,g5h4 h2h4,783,89,100,602,endgame mate mateIn1 oneMove,https://lichess.org/pjNI7zZn#113,,True,https://lichess.org/training/Acj1E
m1UKI,1r4k1/2q2r1p/2b1p1Q1/p2pPp2/2pP3R/2P1P1P1/P1B2KP1/7R b - - 0 30,h7g6 h4h8 g8g7 h1h7,783,80,99,866,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/yfB8KKX3/black#60,,True,https://lichess.org/training/m1UKI
9fONp,6k1/4pp1R/p2p1Bp1/1p6/4r1p1/P5P1/2r2PK1/7R b - - 0 40,e7f6 h7h8 g8g7 h1h7,784,103,82,375,endgame mate mateIn2 rookEndgame short,https://lichess.org/f32syZOZ/black#80,,True,https://lichess.org/training/9fONp
0NIJx,5r2/R5Rk/p4p2/1p4p1/3pP3/1P1P4/3r2PP/6K1 b - - 0 31,h7h6 g7h7 h6g6 a7g7,784,96,94,245,endgame mate mateIn2 rookEndgame short,https://lichess.org/FluRQpBT/black#62,,True,https://lichess.org/training/0NIJx
8y9rJ,6kQ/2q2p1p/p3p1p1/1p1pP1P1/6P1/1P2rPK1/P6R/7R b - - 0 40,g8h8 h2h7 h8g8 h7h8 g8g7 h1h7,784,77,100,482,endgame long mate mateIn3 queenRookEndgame,https://lichess.org/uufRVp9E/black#80,,True,https://lichess.org/training/8y9rJ
hKsUj,5r1k/pbp3pn/1p5p/n3b3/8/P1B5/BPP1QPrP/3RRK2 w - - 0 25,e2e5 f8f2,786,77,99,1302,mate mateIn1 middlegame oneMove,https://lichess.org/6yeFQscg#49,,True,https://lichess.org/training/hKsUj
YLHcQ,8/4kr2/6R1/pp1R4/2p1p2p/P1P1P2P/1P3r2/5K2 w - - 0 42,f1e1 f2f1 e1e2 f7f2,786,79,89,355,endgame mate mateIn2 rookEndgame short,https://lichess.org/LtLrMlVF#83,,True,https://lichess.org/training/YLHcQ
VVK3B,7r/5kp1/p4p1r/1pN1p3/1P6/P2P1RP1/2P2R2/6K1 w - - 6 37,c5e4 h6h1 g1g2 h8h2,787,82,97,1551,endgame mate mateIn2 short,https://lichess.org/Pf6i9i38#73,,True,https://lichess.org/training/VVK3B
Llc97,8/p3k1pp/p7/3Pp3/1P2P3/P5P1/1r4r1/2R1R1K1 w - - 2 31,g1f1 b2f2,787,84,81,70,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/utGeXcVZ#61,,True,https://lichess.org/training/Llc97
2U3Wn,5k2/1p2r1pn/p4p1B/2pp1P2/6RP/1P1P2R1/1Pr3P1/6K1 b - - 0 34,g7h6 g4g8 f8f7 g3g7,788,78,98,2189,endgame mate mateIn2 short,https://lichess.org/z12jRwD5/black#68,,True,https://lichess.org/training/2U3Wn
i58Iv,5k2/pp3p2/4p2p/3rP3/8/2PrPR2/PP4R1/4K3 w - - 8 30,g2f2 d3d1 e1e2 d5d2,788,77,100,168,endgame mate mateIn2 rookEndgame short,https://lichess.org/98UQexKC#59,,True,https://lichess.org/training/i58Iv
xNjDX,3RRr2/5Q1k/p4pp1/2P4p/7P/8/Pq3PPK/8 b - - 1 34,f8f7 e8h8 h7g7 d8g8,790,78,80,234,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/v75WxPsj/black#68,,True,https://lichess.org/training/xNjDX
QDRVU,4r1k1/p6p/2pp1R1p/1p4rP/4P2K/1P1P4/1P6/5R2 b - - 4 31,e8e5 f6f8 g8g7 f1f7,790,81,100,97,endgame mate mateIn2 rookEndgame short,https://lichess.org/u5J93UPg/black#62,,True,https://lichess.org/training/QDRVU
NfxlE,6k1/1ppn2pp/p6r/1P1p3r/3P4/4PPq1/P1Q2R1P/1RB3K1 w - - 0 22,h2g3 h5h1 g1g2 h6h2,792,77,100,188,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/O9U9Pjon#43,,True,https://lichess.org/training/NfxlE
