PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
5IaIs,5r1b/1p1B1p1k/1q1p2pP/p3p2n/Pn1NPB1P/2r2P2/1PPQ4/2KR3R w - - 0 21,b2c3 b4a2,662,78,82,391,master mate mateIn1 middlegame oneMove,https://lichess.org/cQQRu4jT#41,,True,https://lichess.org/training/5IaIs
jy2pT,rn2kbnr/pb2pppp/1p4q1/3N4/8/5B2/PPP1NPPP/R1BQK2R b KQkq - 0 9,b8c6 d5c7,663,101,86,359,mate mateIn1 oneMove opening,https://lichess.org/WrjX8MKb/black#18,Owen_Defense Owen_Defense_Other_variations,True,https://lichess.org/training/jy2pT
cV9ZF,r1bqk2r/ppp1b1pp/4pn2/5pB1/2Pn4/2N5/PPQ1PPPP/R3KBNR w KQkq - 4 8,a1d1 d4c2,664,90,100,139,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/SViLmict#15,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,True,https://lichess.org/training/cV9ZF
UVSMM,r1bq1r1k/1p2b2p/p1npp3/2p1PpNp/5P1P/2NP4/PPP3Q1/R1B2RK1 b - - 0 16,f8g8 g5f7,667,83,82,215,mate mateIn1 middlegame oneMove,https://lichess.org/Z414UUsc/black#32,Sicilian_Defense Sicilian_Defense_McDonnell_Attack,True,https://lichess.org/training/UVSMM
PKpys,r2qr2k/ppp2p1p/2np4/6N1/1b4Q1/8/P4PPP/R4RK1 b - - 3 17,e8g8 g5f7,670,80,100,392,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZZtRKMFf/black#34,Bishops_Opening Bishops_Opening_Urusov_Gambit,True,https://lichess.org/training/PKpys
CjzgI,5r1k/3b3p/p1p1p2q/P1p1P1N1/2Pp4/3P2Q1/1P5P/5NK1 b - - 0 28,f8g8 g5f7,670,97,85,533,endgame mate mateIn1 oneMove,https://lichess.org/uGrkpOmE/black#56,,True,https://lichess.org/training/CjzgI
0ucyA,rn4qr/pb1k1p2/1pp1pP2/1P1pP2p/3P2n1/2NBQN2/P1P4P/R5RK w - - 5 24,e3f4 g4f2,675,91,100,59,mate mateIn1 middlegame oneMove,https://lichess.org/qQq7zo8v#47,,True,https://lichess.org/training/0ucyA
52vdU,r1bqk1nr/5ppp/1P2p3/8/1b1n4/1QN1B1P1/P3PP1P/R3KB1R w KQkq - 0 12,b3b4 d4c2,677,95,83,234,mate mateIn1 oneMove opening,https://lichess.org/LqKixUMn#23,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted,True,https://lichess.org/training/52vdU
f1bnI,rn2kbnr/p4ppp/4b3/qBpN2B1/8/2P2N2/PP3PPP/R2QK2R b KQkq - 0 12,a5b5 d5c7,677,99,95,1041,mate mateIn1 oneMove opening,https://lichess.org/tYg8oy1x/black#24,French_Defense French_Defense_Exchange_Variation,True,https://lichess.org/training/f1bnI
1iVhS,2Q2bk1/5ppp/6q1/4p3/4n3/4PP2/5B1P/Rr5K w - - 1 27,a1b1 e4f2,679,104,90,380,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/WClKh666#53,,True,https://lichess.org/training/1iVhS
skLva,r1b2rk1/pp4pp/2p1pnq1/3p1p2/2PP1Pn1/1PN1PN1B/P4P1P/R2Q1R1K w - - 5 14,f1g1 g4f2,681,81,100,199,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/5PJw6i7O#27,Semi-Slav_Defense Semi-Slav_Defense_Accelerated_Move_Order,True,https://lichess.org/training/skLva
WYxtE,r1bk3r/pppp1ppp/8/4Pn2/4PP2/6qP/P1PN2P1/R2QKB1R w KQ - 1 14,e1e2 f5d4,682,103,93,584,mate mateIn1 middlegame oneMove,https://lichess.org/FFb0pTbz#27,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit,True,https://lichess.org/training/WYxtE
auqJx,r2q2rk/ppp2p1p/2n5/6N1/1bpP2Q1/4B3/PP3PPP/R4RK1 b - - 5 16,b4e7 g5f7,686,81,85,149,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/2zZawLBi/black#32,Italian_Game Italian_Game_Giuoco_Piano,True,https://lichess.org/training/auqJx
vHPUj,2r2rk1/p4ppp/6q1/2p5/2Np1Pn1/3P4/1PQ1PP1P/2R3RK w - - 7 23,f2f3 g4f2,686,88,93,119,mate mateIn1 middlegame oneMove,https://lichess.org/t4sEJKed#45,,True,https://lichess.org/training/vHPUj
bIMsz,rn2kb1r/pp2pppp/4qn2/3N4/8/5B2/PPP2PPP/R1BQ1RK1 b kq - 0 10,b8c6 d5c7,687,98,88,449,mate mateIn1 oneMove opening,https://lichess.org/vnkfDK4x/black#20,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,True,https://lichess.org/training/bIMsz
t10JZ,5rk1/pp1bp2p/1q1pp1p1/8/1n2PPPP/P1r5/1PPQB3/2KR3R w - - 0 18,b2c3 b4a2,688,79,100,1671,mate mateIn1 middlegame oneMove,https://lichess.org/ZAVHZ6Lh#35,Sicilian_Defense Sicilian_Defense_Dragon_Variation,True,https://lichess.org/training/t10JZ
JzH6X,4kbnr/p1pq1ppp/8/8/1rbn4/Q1N5/PP2PPPP/R1B1KBNR w KQk - 2 12,a3a7 d4c2,689,79,88,334,mate mateIn1 oneMove opening,https://lichess.org/SETLCMmX#23,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit,True,https://lichess.org/training/JzH6X
t2IPQ,r2q2nr/pbpnp2p/1p3kpb/3Pp1N1/8/2N2Q2/PPP2PPP/R1B2RK1 b - - 2 11,f6g7 g5e6,690,83,100,131,mate mateIn1 oneMove opening,https://lichess.org/byg1nfEp/black#22,Modern_Defense Modern_Defense_Two_Knights_Variation,True,https://lichess.org/training/t2IPQ
