PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
5wraA,6rk/ppR5/3p4/4b3/4P3/2PP3n/PP6/R6K w - - 0 31,d3d4 h3f2,1178,82,67,59,endgame mate mateIn1 oneMove,https://lichess.org/Qrns01dY#61,,True,https://lichess.org/training/5wraA
cs3tw,r7/3k1N2/pRn1pBr1/3pP3/3P4/2P2K2/P7/8 b - - 0 33,a8f8 b6b7 d7e8 f7d6,1178,76,99,1676,endgame mate mateIn2 short,https://lichess.org/fjvDZVCQ/black#66,,True,https://lichess.org/training/cs3tw
gdUZL,7b/5R1k/p6p/3p1N1P/b1p5/2n2PK1/8/8 b - - 2 47,h7g8 f5h6,1178,76,70,210,endgame mate mateIn1 oneMove,https://lichess.org/U76EmJ2L/black#94,,True,https://lichess.org/training/gdUZL
cLHzI,5k2/5p1p/p3b1pP/4N1P1/n3nP2/1N6/P1r5/K2R4 b - - 2 41,e4c3 d1d8 f8e7 e5c6,1178,80,92,330,mate mateIn2 middlegame short,https://lichess.org/CIqMiSxR/black#82,,True,https://lichess.org/training/cLHzI
5f2r2,2k5/7R/1pN1p2p/8/4N3/8/r1p5/5BK1 b - - 1 44,c2c1q e4d6,1178,77,96,3025,endgame master mate mateIn1 oneMove,https://lichess.org/zn9O1p8Q/black#88,,True,https://lichess.org/training/5f2r2
QKXhK,6R1/1R3p2/1p1p1k2/p3p3/2P1P3/PbnBKP2/7r/8 w - - 0 51,g8f8 c3d1,1178,81,91,1020,endgame master mate mateIn1 oneMove,https://lichess.org/YgS3wR1E#101,,True,https://lichess.org/training/QKXhK
YtFZW,3k2r1/pp3p1p/2p1n2p/4PN2/2B5/7n/PP3P1P/4R2K w - - 0 27,c4e6 h3f2,1178,75,92,673,endgame mate mateIn1 oneMove,https://lichess.org/MVxcaRU3#53,,True,https://lichess.org/training/YtFZW
uPS4b,r6r/3k1pp1/1Bb1p2p/1N2P3/2P5/8/q1n2PPP/1R1R2K1 b - - 11 29,d7e7 b6c5 e7e8 b5c7,1178,80,93,592,mate mateIn2 middlegame short,https://lichess.org/pDes3Keq/black#58,,True,https://lichess.org/training/uPS4b
YtRdI,2rn1k1r/3p2p1/p1RP1q1p/1p2Np2/1P1b1B2/PQ6/5PPP/4R1K1 b - - 0 23,d8c6 e5d7,1178,81,84,314,mate mateIn1 middlegame oneMove,https://lichess.org/giSx8yDg/black#46,,True,https://lichess.org/training/YtRdI
ebN9N,N1k5/p5p1/4p1q1/N3np2/8/3P1Q2/PPP2B1r/R4RK1 w - - 1 24,f3g3 e5f3,1178,76,92,386,mate mateIn1 middlegame oneMove pin,https://lichess.org/oMMH1Gsn#47,,True,https://lichess.org/training/ebN9N
YtEDm,r2kb3/pp4R1/2p3p1/4P1N1/P1nP4/8/6P1/6K1 b - - 4 30,a8c8 g5e6,1178,150,54,11,endgame mate mateIn1 oneMove,https://lichess.org/SMPqijJx/black#60,,True,https://lichess.org/training/YtEDm
zx2Mh,r1b2rRk/pp5n/4p3/3pNp2/2pP4/2P1P3/PPBK4/6R1 b - - 2 21,f8g8 e5f7,1179,130,100,18,mate mateIn1 middlegame oneMove,https://lichess.org/3CjtfuqP/black#42,,True,https://lichess.org/training/zx2Mh
2Vc4h,5k2/6pp/2B2pn1/p7/2N4r/7P/PP1r2P1/4R2K b - - 1 30,d2c2 e1e8 f8f7 c4d6,1179,77,88,177,endgame mate mateIn2 short,https://lichess.org/2v1rCjP7/black#60,,True,https://lichess.org/training/2Vc4h
4OsWP,4k1r1/1p3p2/p3p3/2N5/1P6/P6n/5P1P/3R1RrK w - - 10 31,f1g1 h3f2,1179,97,89,168,endgame mate mateIn1 oneMove,https://lichess.org/2AMHSnbx#61,,True,https://lichess.org/training/4OsWP
vORqv,8/2Q1n1r1/2p1kp2/3p4/PP1B2bp/2P4K/5P2/R7 w - - 13 38,h3h4 e7f5,1179,76,93,387,endgame master mate mateIn1 oneMove,https://lichess.org/3W79gT5Q#75,,True,https://lichess.org/training/vORqv
BeEkO,3r3k/pp3p1p/5n1N/4r3/2B5/2K5/PP4RP/n7 b - - 3 29,b7b5 h6f7,1179,77,72,215,mate mateIn1 middlegame oneMove,https://lichess.org/hfo3hXc5/black#58,,True,https://lichess.org/training/BeEkO
CEhYC,3rb2k/2q1r1p1/1pn4Q/p1pB3N/2Pp1P2/1P2P2P/P4P1K/3R2R1 b - - 0 29,g7h6 g1g8 h8h7 h5f6,1179,82,92,110,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/veaCg7I6/black#58,,True,https://lichess.org/training/CEhYC
JvO4E,r6r/ppp1n1pp/2n1k3/1N2P3/4P3/P3PR1P/1P4P1/3R2K1 b - - 2 16,c6e5 b5c7,1179,84,94,1749,mate mateIn1 middlegame oneMove,https://lichess.org/zKOPbwNo/black#32,Queens_Gambit_Accepted Queens_Gambit_Accepted_Saduleto_Variation,True,https://lichess.org/training/JvO4E
0crYL,4k1r1/1pp4R/3b1p2/p3nB2/P4N2/2P5/5PP1/2K5 b - - 0 39,e5c4 f5d7 e8f8 f4e6,1179,76,95,1524,endgame master mate mateIn2 short,https://lichess.org/0lGcjrFJ/black#78,,True,https://lichess.org/training/0crYL
fOdvL,6k1/R3R1bp/3N2p1/3b4/1r4K1/6P1/5P1P/6n1 w - - 15 32,g4g5 g1h3,1180,75,97,1308,mate mateIn1 middlegame oneMove,https://lichess.org/DBeOTOXa#63,,True,https://lichess.org/training/fOdvL
zYGUW,5n1r/3pk3/2pNp1K1/R1Pn4/2BP2P1/5P2/1r2N2P/R7 w - - 1 37,g6g7 h8h7 g7g8 d5f6,1180,76,100,600,mate mateIn2 middlegame short,https://lichess.org/jQYARuFW#73,,True,https://lichess.org/training/zYGUW
ZFde6,4N3/4R3/6kp/2r2p2/8/1r3PK1/8/8 b - - 2 50,c5c3 e7g7 g6h5 e8f6,1180,80,67,57,endgame mate mateIn2 short,https://lichess.org/0lMKu3Az/black#100,,True,https://lichess.org/training/ZFde6
KV9Zx,r4r2/4R2k/p1p5/3p1N1p/4nN1P/8/P1P2PP1/6K1 b - - 2 27,h7h8 f4g6 h8g8 f5h6,1180,75,97,3661,endgame fork mate mateIn2 short,https://lichess.org/q3LtGQtb/black#54,,True,https://lichess.org/training/KV9Zx
