PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
PKdaX,r1bq1rkR/1p3p2/p3p3/3pP1n1/2p3P1/2N1bP2/PPP1B1K1/R6Q b - - 3 19,g8g7 h1h6,1310,193,4,17,mate mateIn1 middlegame oneMove,https://lichess.org/SGGoUPqw/black#38,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,True,https://lichess.org/training/PKdaX
9oW7U,r2q1r2/pp2bpkR/2nn2P1/2p1p1P1/2PpP3/PP3Q2/1B1P1P2/RN2K3 b Q - 2 19,g7g6 f3h5,1310,130,90,60,master mate mateIn1 middlegame oneMove,https://lichess.org/obMB7ol8/black#38,,True,https://lichess.org/training/9oW7U
O6M7j,1q2n1k1/3QR3/4prp1/2p3N1/2P3P1/1P3PK1/8/8 w - - 4 51,g3h4 b8h2 g5h3 g6g5 h4h5 h2h3 h5g5 h3h6,1310,75,96,4015,deflection endgame master mate mateIn4 pin veryLong,https://lichess.org/yob5S1qb#101,,True,https://lichess.org/training/O6M7j
p087E,8/2P4R/p6P/1p1p4/1P3p2/P3k3/5p1r/5K2 w - - 1 50,c7c8q h2h1 f1g2 f2f1q,1310,77,97,8824,advancedPawn endgame mate mateIn2 promotion queenRookEndgame short,https://lichess.org/DQxe6cwU#99,,True,https://lichess.org/training/p087E
Jx5cb,r7/1Q1b1pk1/4p3/r2pP1q1/P1p2p2/7R/2B3PP/5RK1 b - - 3 29,d7a4 h3h7 g7g8 b7f7,1310,82,94,1681,mate mateIn2 middlegame short,https://lichess.org/TToF3GPw/black#58,,True,https://lichess.org/training/Jx5cb
SQYO1,8/kp6/p4p2/5Q2/6pq/2P4P/PP2r1K1/R6R w - - 1 34,g2g1 h4g3 g1f1 g3g2,1310,83,90,3159,endgame mate mateIn2 short,https://lichess.org/pLyJAcnk#67,,True,https://lichess.org/training/SQYO1
F4PqT,2kr3r/R6p/1p4p1/5p2/Pq1p4/3P1PP1/Q5KP/4R3 b - - 0 32,b4e1 a2c4 c8b8 c4c7,1310,80,94,20943,endgame mate mateIn2 short,https://lichess.org/B0aj3vEC/black#64,,True,https://lichess.org/training/F4PqT
ymJGk,r6k/p1p1QRq1/1p1p3p/3P4/3P4/2Pn4/P5PP/6K1 b - - 0 33,g7g5 f7h7 h8g8 e7f7,1310,83,91,879,endgame mate mateIn2 short,https://lichess.org/zS7jOy0n/black#66,,True,https://lichess.org/training/ymJGk
QgHLK,8/1p1q3k/7p/2R1Rr2/p1p3Q1/5rP1/PPP4P/6K1 w - - 1 34,e5f5 d7d1 g1g2 d1f1,1310,77,90,614,endgame mate mateIn2 short,https://lichess.org/K6ImH1ul#67,,True,https://lichess.org/training/QgHLK
w3gQB,1r5k/Q1R5/5rNp/5p1n/1q6/4P3/PP1n1PPK/7R b - - 6 31,f6g6 c7h7 h8g8 a7f7,1310,78,98,3280,mate mateIn2 middlegame short,https://lichess.org/To5k52u1/black#62,,True,https://lichess.org/training/w3gQB
NP8Gg,r6r/2b2Rk1/p1p1p3/1p1nP1q1/3P2b1/2PB4/PPQ3PP/5RK1 b - - 0 20,g7g8 d3h7 h8h7 c2h7,1311,75,98,1901,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/gFCzZ9WY/black#40,,True,https://lichess.org/training/NP8Gg
FJVrN,2k4r/pppn1pp1/3bp3/3p1q2/3P2n1/2N2B2/PPP3K1/R1BQR3 w - - 3 21,f3g4 h8h2 g2g1 f5f2,1311,76,97,252,mate mateIn2 middlegame short,https://lichess.org/ThFMnhuL#41,,True,https://lichess.org/training/FJVrN
pxYq3,8/p6p/2p3pk/2P5/1PB4q/3Qb3/P1P1KrP1/4R3 w - - 3 32,e2e3 h4f4,1311,83,76,127,endgame mate mateIn1 oneMove,https://lichess.org/jH5yagrB#63,,True,https://lichess.org/training/pxYq3
6I0Th,4r2k/Q4R1p/2p3p1/3pb3/6Pq/1P6/P2B2P1/6K1 b - - 6 31,h4g4 f7h7 h8g8 a7f7,1311,76,93,6400,endgame mate mateIn2 short,https://lichess.org/Qhqb56JS/black#62,,True,https://lichess.org/training/6I0Th
A1KHu,3r2k1/6pp/p2nR3/1p6/1PBp1P1q/P7/4Q1PP/2B2K2 b - - 0 33,d6c4 e6e8 g8f7 e2e6,1311,75,95,24474,endgame mate mateIn2 short,https://lichess.org/tKxxEI9U/black#66,,True,https://lichess.org/training/A1KHu
Vqvob,2r2k1r/pQ4Rp/5n2/7q/3p1Pb1/2N5/PPP3PP/R5K1 b - - 0 22,d4c3 b7e7,1311,75,92,6741,mate mateIn1 middlegame oneMove,https://lichess.org/13SfmLir/black#44,,True,https://lichess.org/training/Vqvob
hzeIG,2r1r2k/pQ3R1p/6p1/2p1q3/3p4/2P5/PP4PP/R5K1 b - - 1 28,d4c3 f7h7 h8g8 b7f7,1311,77,87,800,endgame mate mateIn2 short,https://lichess.org/qdNXlCRM/black#56,,True,https://lichess.org/training/hzeIG
8pA2B,r5k1/1p1r2pp/p7/4R3/1nqp1PP1/3R3P/PP2Q3/6K1 b - - 2 34,c4d3 e5e8 g8f7 e2e6,1312,75,96,9410,endgame mate mateIn2 short,https://lichess.org/Au1O3Ewk/black#68,,True,https://lichess.org/training/8pA2B
DM6VG,8/RQ3ppk/6qp/8/2p5/4PP2/3r1P1P/5K2 w - - 0 32,b7f7 d2d1 f1e2 g6d3,1312,75,93,1955,endgame mate mateIn2 short,https://lichess.org/TV8ly4Rp#63,,True,https://lichess.org/training/DM6VG
guWRb,r5k1/p1p1R2p/1b3rp1/3b4/1P6/5qPQ/P1P2P1P/5RK1 b - - 1 22,d5c4 h3h7 g8f8 h7g7,1312,75,86,624,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Pn8Hx9tm/black#44,,True,https://lichess.org/training/guWRb
