PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref,unique_id
0GyrX,r2q1rkR/p2p1p2/bp2p3/7Q/2P1P3/2Nn4/PP3PP1/R4K2 b - - 3 17,g8g7 h5h6,1384,77,90,153,mate mateIn1 middlegame oneMove,https://lichess.org/YvBsW5BK/black#34,Benoni_Defense Benoni_Defense_Old_Benoni,True,https://lichess.org/training/0GyrX,5971
0Hj43,6k1/p1p3p1/1P1p2qp/3Pp3/2P5/2P4P/1R1Q1rr1/5R1K w - - 0 26,f1f2 g2g1 h1h2 g6g3,1214,98,86,24,endgame mate mateIn2 short,https://lichess.org/v2gaX3Ni#51,,True,https://lichess.org/training/0Hj43,6242
0Hmms,r6k/4Q2R/pp1p1p1p/6q1/P2p2P1/1P1P3P/2P5/6K1 b - - 3 25,h8g8 e7f7,1469,224,72,37,endgame mate mateIn1 oneMove,https://lichess.org/75tDgvMS/black#50,,True,https://lichess.org/training/0Hmms,6265
0IRvh,5Q2/3q3p/5Rk1/4p3/1P6/4n1rP/P5P1/3rR2K b - - 6 37,g6g5 f8h6,1418,76,100,1141,mate mateIn1 middlegame oneMove,https://lichess.org/nOkLSo8D/black#74,,True,https://lichess.org/training/0IRvh,6479
0Ijr5,1r6/5pk1/6p1/p1QP3p/1pP2r1P/1P3R2/Pq3KP1/7R w - - 1 30,f2g3 f4g4 g3h3 b2g2,1207,75,97,5194,endgame mate mateIn2 short,https://lichess.org/sMSN5z6A#59,,True,https://lichess.org/training/0Ijr5,6574
0JXSB,8/pkp5/1p3R2/4PQ1p/4q3/7P/PP3Kr1/8 w - - 6 37,f2f1 e4e2,941,90,95,228,endgame mate mateIn1 oneMove,https://lichess.org/WSxc45hC#73,,True,https://lichess.org/training/0JXSB,6856
0KdM8,2r2rk1/5p2/1qn2npR/1p4p1/1P2b3/2P4Q/2B2P2/2KR4 b - - 1 28,e4c2 h6h8 g8g7 h3h6,986,146,54,34,mate mateIn2 middlegame short,https://lichess.org/WZVIQqDy/black#56,,True,https://lichess.org/training/0KdM8,7236
0MDey,r3rbk1/3Q3R/2p3pB/p2pq3/4n3/8/P5PP/R6K b - - 0 29,f8h6 d7f7,1084,83,94,5680,mate mateIn1 middlegame oneMove,https://lichess.org/d4o4RXa2/black#58,,True,https://lichess.org/training/0MDey,7791
0NKxM,5r1k/pp4R1/4pr1p/3p3P/1P1q1PR1/P5Q1/4KP2/8 b - - 2 28,f6f4 g7g8 f8g8 g4g8 h8h7 g3g6,1419,77,94,3090,endgame exposedKing long mate mateIn3,https://lichess.org/5dgjzcpS/black#56,,True,https://lichess.org/training/0NKxM,8213
0NPSx,3r3k/p5p1/1pp4p/5R2/P1P1P3/6qP/1PQ3P1/5K2 w - - 3 37,c2f2 d8d1 f1e2 g3d3,1218,78,96,17824,endgame mate mateIn2 short,https://lichess.org/aPAm2p30#73,,True,https://lichess.org/training/0NPSx,8237
0NVhq,8/p1Q2k2/1p3b2/2p4R/6pP/2P5/PP1rq3/6K1 b - - 14 42,f7g6 c7h7,1178,78,86,70,endgame mate mateIn1 oneMove,https://lichess.org/ohRAjIHz/black#84,,True,https://lichess.org/training/0NVhq,8266
0NgPE,8/pQ6/2pkr3/3q4/6P1/2PN2Kr/P1P2P2/8 w - - 0 37,g3h3 d5f3 h3h4 e6h6 h4g5 f3f6,1847,75,92,1509,endgame long mate mateIn3,https://lichess.org/GsHuVtiG#73,,True,https://lichess.org/training/0NgPE,8326
0OsM4,3r4/1q4pk/6p1/p3R1P1/5P2/1P2Q3/7K/8 b - - 1 40,d8d1 e3h3 h7g8 e5e8 g8f7 h3e6,961,81,89,422,endgame long mate mateIn3,https://lichess.org/vjj5bKys/black#80,,True,https://lichess.org/training/0OsM4,8761
0Ozx4,3r2k1/pb2R3/1p1B3p/2pq2p1/8/2P3P1/P1Q3PP/6K1 b - - 3 33,d8d6 c2h7 g8f8 h7g7,1442,74,96,24683,endgame mate mateIn2 short,https://lichess.org/yExzM8LZ/black#66,,True,https://lichess.org/training/0Ozx4,8820
0P5X0,7k/pp3Q2/7p/5N2/4q3/2P3K1/PP4r1/5R2 w - - 5 31,g3h3 e4g4,1023,77,100,410,endgame master mate mateIn1 oneMove,https://lichess.org/bALzzu54#61,,True,https://lichess.org/training/0P5X0,8854
