PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
LvS4U,4rk2/pp2r3/3Q1p1R/2p5/8/3P3K/PP3q2/4R3 b - - 3 31,f2e1 d6f6 e7f7 h6h8,1503,75,77,479,endgame mate mateIn2 short,https://lichess.org/T9UxDytB/black#62,,True,https://lichess.org/training/LvS4U
LvkUO,2bR1b1r/r1P1kppp/p1Q5/4q3/2P1p3/8/PP3PPP/R5K1 b - - 4 20,e5c7 d8e8,1779,77,91,6988,mate mateIn1 middlegame oneMove,https://lichess.org/V5rZUp5e/black#40,,True,https://lichess.org/training/LvkUO
LwUKv,1k4q1/1Rp5/R1n5/2Q1p3/8/5p1r/3r4/5K2 b - - 0 39,b8b7 c5c6 b7c8 a6a8,1869,112,58,23,endgame mate mateIn2 short,https://lichess.org/1gSzvyHy/black#78,,True,https://lichess.org/training/LwUKv
LxC3f,4r2k/pQ4pp/2p5/8/2P5/4r1qP/P1PR2P1/R5K1 w - - 0 29,b7c6 e3e1 a1e1 e8e1,979,76,96,4056,endgame mate mateIn2 short,https://lichess.org/EtqQIUPI#57,,True,https://lichess.org/training/LxC3f
LxdrV,5r1k/6b1/ppPp2P1/3Bp3/1P2Q1p1/2N1R1Pq/P4r2/R5K1 w - - 0 26,e4h1 f2f1 a1f1 f8f1,1154,76,97,4148,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Pyr8zoHU#51,,True,https://lichess.org/training/LxdrV
LyMGk,5r1k/p1p3p1/7p/8/2PPN1b1/1B3rPq/P2Q3P/R3R1K1 w - - 1 26,b3d1 f3f1 e1f1 f8f1,1080,77,88,474,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/n65f4LQd#51,,True,https://lichess.org/training/LyMGk
Lz7Q3,5rk1/4b1pp/1nQ1p3/8/1Pp4P/P1NqP1P1/3PK3/B2R4 w - - 6 30,e2e1 f8f1,949,83,74,124,mate mateIn1 middlegame oneMove,https://lichess.org/dSQT5zUl#59,,True,https://lichess.org/training/Lz7Q3
Lzv8e,rn3rk1/pp2pB1p/6pQ/5b2/8/2q2P2/P1P1p1PP/3R1RK1 b - - 0 18,f8f7 d1d8 f7f8 d8f8,704,78,80,175,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/DyzLZmP0/black#36,Sicilian_Defense Sicilian_Defense_Modern_Variations,True,https://lichess.org/training/Lzv8e
M3XfC,4k3/1p6/pNbQ1pp1/4p3/2B1P1P1/4qPp1/PPPR2Kr/5R2 w - - 4 30,g2g3 e3f4,1389,75,66,150,mate mateIn1 middlegame oneMove,https://lichess.org/JnY8n66v#59,,True,https://lichess.org/training/M3XfC
M4jHf,8/p4R1Q/kppq4/8/2Pp4/1P4PP/P1P1r2K/8 w - - 1 42,h2g1 d6g3 g1f1 e2e1,1203,74,96,3209,endgame mate mateIn2 short,https://lichess.org/QIP3FIXZ#83,,True,https://lichess.org/training/M4jHf
M5aQJ,2r3k1/ppr2p2/4p1p1/6PP/3PP3/qP1b1Q2/P6R/1K1R4 w - - 1 31,f3d3 c7c1 d1c1 c8c1,911,95,88,281,endgame mate mateIn2 queensideAttack short,https://lichess.org/PUX0MiaS#61,,True,https://lichess.org/training/M5aQJ
M5gqD,r3n1k1/1p3b1p/p1p3BQ/3pB3/3P2q1/P7/1PP5/5R1K b - - 1 34,f7g6 f1f8,1073,79,92,1372,mate mateIn1 middlegame oneMove,https://lichess.org/lahKRQ75/black#68,,True,https://lichess.org/training/M5gqD
M6P7M,rnb2Qnr/ppk2R1p/1qp3p1/3pP3/8/1B6/PbP3PP/RN5K b - - 5 16,b8d7 f8d6 c7d8 f7f8,1752,77,87,1241,mate mateIn2 middlegame pin short,https://lichess.org/K5ht88BS/black#32,Philidor_Defense Philidor_Defense_Philidor_Countergambit,True,https://lichess.org/training/M6P7M
M7BgM,5r1k/p6p/n1p3p1/1p1pQ3/3Pp3/2P1P1R1/PP1N1r1q/2K3R1 b - - 3 31,h8g8 g3g6 h7g6 g1g6 g8f7 g6g7,1573,76,84,1139,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/l2X0kyKD/black#62,,True,https://lichess.org/training/M7BgM
M8IoG,3n1rk1/1ppq1p1B/p3rQ1p/8/P2P3R/2P5/1P4PP/6K1 b - - 5 27,g8h7 h4h6 h7g8 h6h8,1609,76,69,105,endgame mate mateIn2 short,https://lichess.org/SBEgqbAY/black#54,,True,https://lichess.org/training/M8IoG
M8WbW,5R2/2q2p1k/p3rBp1/1p4K1/3P1P2/P5QP/8/8 b - - 0 42,e6f6 g3h4 h7g7 h4h6,967,78,95,994,endgame mate mateIn2 short,https://lichess.org/DH1GCr7s/black#84,,True,https://lichess.org/training/M8WbW
