PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
0Kuds,1k2r3/2p1rp1p/1p6/3P4/3n4/R4P2/6PP/R4K2 b - - 0 28,d4c2 a3a8 b8b7 a1a7,1118,85,38,60,endgame mate mateIn2 short,https://lichess.org/hKnBnLYM/black#56,,True,https://lichess.org/training/0Kuds
0LYdX,3r4/p2r1pkp/6p1/2R5/1P3R2/P3PPP1/5P2/4K3 w - - 1 29,f4c4 d7d1 e1e2 d8d2,1048,99,87,38,endgame mate mateIn2 rookEndgame short,https://lichess.org/ji0jIcmT#57,,True,https://lichess.org/training/0LYdX
0M0fW,2k5/pp1r1rp1/2Q5/2P1P1qp/1R3p2/P1P5/5P2/1R3K2 b - - 0 30,b7c6 b4b8 c8c7 b1b7,838,77,97,2522,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/GRXCbLcT/black#60,,True,https://lichess.org/training/0M0fW
0MQWT,2r5/4k2p/8/1P1K1p2/2r1p1P1/1RP5/7P/4R3 w - - 4 35,g4f5 c8c5,1429,77,87,283,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/25OZjkmY#69,,True,https://lichess.org/training/0MQWT
0NIJx,5r2/R5Rk/p4p2/1p4p1/3pP3/1P1P4/3r2PP/6K1 b - - 0 31,h7h6 g7h7 h6g6 a7g7,788,96,94,244,endgame mate mateIn2 rookEndgame short,https://lichess.org/FluRQpBT/black#62,,True,https://lichess.org/training/0NIJx
0Puur,r5r1/p2kR1p1/1npB2p1/1p1p2P1/3P4/1PP4P/P2K1P2/4R3 b - - 2 24,d7d6 e1e6,1168,122,58,54,endgame master mate mateIn1 oneMove,https://lichess.org/cc1cx6Fn/black#48,,True,https://lichess.org/training/0Puur
0RwfH,3r1r1b/7R/1p2pNk1/4P3/1P1nKPp1/8/6P1/7R b - - 5 47,h8f6 h1h6,1335,88,33,66,endgame master mate mateIn1 oneMove,https://lichess.org/j6K84pOM/black#94,,True,https://lichess.org/training/0RwfH
0SK5W,7r/1p3pkr/4b1p1/2Pp4/PP1Pp1B1/4N1q1/R4R1P/3Q2K1 w - - 0 29,h2g3 h7h1 g1g2 h8h2,1728,86,87,33,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/wV09lTYR#57,,True,https://lichess.org/training/0SK5W
0U8Fj,7r/5k1r/2P3p1/6Q1/6P1/P3P3/1Pb2PP1/2R2RK1 w - - 3 33,g2g3 h7h1 g1g2 c2e4 f2f3 h8h2,1538,75,89,4233,endgame long mate mateIn3,https://lichess.org/VMRfjnUZ#65,,True,https://lichess.org/training/0U8Fj
0Ux8z,4r3/3n1pp1/1p1r2k1/pP1PpR1R/2P1P3/7P/4B3/7K b - - 6 40,d6f6 f5g5,1184,76,91,850,endgame mate mateIn1 oneMove,https://lichess.org/BNKW0eD5/black#80,,True,https://lichess.org/training/0Ux8z
0V68D,8/p1p2pk1/6p1/1P2P2p/4KP1P/3r2r1/8/1RR5 w - - 2 33,c1c7 g3e3,1095,78,89,962,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/vhhFFy4F#65,,True,https://lichess.org/training/0V68D
0WFO5,r5k1/5p1p/4pp2/r7/1p1R3P/1b3P2/P1R3P1/1K3B2 w - - 0 27,a2b3 a5a1 b1b2 a8a2,1090,77,89,536,endgame mate mateIn2 short,https://lichess.org/czovAvD3#53,,True,https://lichess.org/training/0WFO5
0WMDa,6r1/p3Qn1k/Bp5p/3P1b2/P1PB4/8/1P5p/R5rK w - - 2 32,h1h2 g8g2,1235,79,86,544,mate mateIn1 middlegame oneMove,https://lichess.org/ItAjMMYI#63,,True,https://lichess.org/training/0WMDa
0Wk7h,5bk1/p4p2/2qr1Pp1/4p1P1/3pP3/3P2KR/4R3/8 b - - 3 44,f8e7 e2h2 e7f6 g5f6 d6f6 h3h8 g8g7 h2h7,1747,74,96,11995,endgame mate mateIn4 quietMove veryLong,https://lichess.org/nFtt5eXA/black#88,,True,https://lichess.org/training/0Wk7h
0X00V,3r2k1/8/p3p3/1pB1Npp1/1P6/P3K1PP/3r4/R7 w - - 0 31,e5c6 d8d3,1170,76,84,327,endgame mate mateIn1 oneMove,https://lichess.org/BSzHLLiN#61,,True,https://lichess.org/training/0X00V
0X753,6k1/6p1/4R3/8/1P6/P7/2r3rp/4RKB1 w - - 0 43,g1h2 c2f2,1167,79,81,343,endgame mate mateIn1 oneMove,https://lichess.org/jcsrRkRk#85,,True,https://lichess.org/training/0X753
0Y3kt,8/1p3k2/5pR1/1p1N1P2/1P2P1K1/1r4r1/8/2R5 w - - 9 50,g4f4 b3f3,1124,75,98,1308,endgame mate mateIn1 oneMove,https://lichess.org/XtHocmPY#99,,True,https://lichess.org/training/0Y3kt
0YJaq,2r3kR/p4b2/Np2p1p1/3p1pP1/1PrP4/P1n1BPK1/8/7R b - - 1 36,g8g7 h1h7,1033,76,100,88,mate mateIn1 middlegame oneMove,https://lichess.org/huSLInpb/black#72,,True,https://lichess.org/training/0YJaq
0anwi,4n2r/8/3p1pk1/1B1Pp3/1p2P1P1/1P6/5RKr/5R2 w - - 6 47,g2g3 h8h3,1115,78,89,802,endgame mate mateIn1 oneMove,https://lichess.org/kHROJtKu#93,,True,https://lichess.org/training/0anwi
0evYV,6k1/6pp/8/1pR5/p7/P5P1/1PPr1r1P/4K2R w - - 5 30,h1f1 f2e2,1441,83,81,402,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ZkjItV99#59,,True,https://lichess.org/training/0evYV
