PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
KkQjP,7k/8/p2r2Np/bp3p2/4pP2/1B4RP/P3K1P1/2r5 b - - 0 40,h8h7 g6f8 h7h8 g3g8,975,88,91,2182,endgame mate mateIn2 short,https://lichess.org/J4BNukGS/black#80,,True,https://lichess.org/training/KkQjP
KmgP5,rnb4r/pppp2pp/5b2/1k2N3/8/2P1B3/P1P2PPP/1R2K2R b K - 1 16,b5a4 b1b4 a4a5 e5c4 a5a6 b4a4 a6b5 a4a5 b5c6 a5c5,2171,79,91,739,mate mateIn5 middlegame veryLong,https://lichess.org/kJMYfD7K/black#32,Russian_Game Russian_Game_Italian_Variation,True,https://lichess.org/training/KmgP5
Kn2AX,6k1/4np2/4p2P/p2pPbN1/1p1P4/6R1/Pr3P2/6K1 b - - 1 34,g8h8 g5f7 h8h7 g3g7,862,89,96,2089,endgame mate mateIn2 short,https://lichess.org/Pa4kRQtq/black#68,,True,https://lichess.org/training/Kn2AX
Kqb2a,6k1/1p4p1/3b3p/p5r1/2Pp4/PP1PPn1K/1B2R1N1/1R3r2 w - - 6 37,b1f1 g5g3,1413,75,94,4193,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/hcDF9TWi#73,,True,https://lichess.org/training/Kqb2a
Kssvk,8/p3R3/B5pk/8/6n1/6P1/P2r1n1P/5RK1 w - - 5 33,a6c8 f2h3 g1h1 d2h2,1296,75,86,300,discoveredAttack endgame mate mateIn2 short,https://lichess.org/c0kDn9gL#65,,True,https://lichess.org/training/Kssvk
KtxEv,k1b2q1r/R7/7p/2P1N3/7B/5p2/P1P2PPK/1R6 b - - 0 26,a8a7 e5c6 a7a6 b1b6,1313,75,93,964,endgame mate mateIn2 short,https://lichess.org/8EHI5oSt/black#52,,True,https://lichess.org/training/KtxEv
KuJG7,4r3/1p1bpp1p/p2p2p1/3r2P1/3N3P/1P3Pk1/P1P1R3/2K3R1 b - - 7 33,g3f4 e2e4,1779,79,89,3449,endgame mate mateIn1 oneMove,https://lichess.org/r5i8Daen/black#66,,True,https://lichess.org/training/KuJG7
KusWk,2k5/ppp5/3p4/1N5n/P1P4R/6Pp/1PPNrr1P/R6K w - - 5 27,d2f1 f2h2 f1h2 h5g3 h1g1 e2g2,1867,76,92,1451,deflection kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/fjyyBcOt#53,,True,https://lichess.org/training/KusWk
KvSkk,3k4/pp2R1p1/3NK1P1/2p5/3b1B1p/5r2/P7/8 b - - 3 38,f3f4 e7d7,1676,118,72,150,endgame mate mateIn1 oneMove,https://lichess.org/hoK0n56G/black#76,,True,https://lichess.org/training/KvSkk
KxvcC,8/1pp4k/1n3bn1/p3rK2/P7/1BP5/1P1B3P/6R1 w - - 2 35,f5f6 b6d7 f6f7 e5e7,1359,74,90,395,endgame mate mateIn2 short,https://lichess.org/mq7PTxwi#69,,True,https://lichess.org/training/KxvcC
L1ArH,8/pp1P4/6r1/2p1B3/4n3/1P3k1p/P7/3R3K w - - 1 34,d7d8q e4f2 h1h2 g6g2,1406,77,75,110,endgame fork mate mateIn2 short,https://lichess.org/NKiu8Ytf#67,,True,https://lichess.org/training/L1ArH
L1HCf,r1bq1N1k/1p3rb1/p2p1N1Q/P1p1p3/4p3/7P/1PP2P2/R3K1R1 b Q - 3 23,g7h6 g1g8,1072,75,76,139,arabianMate master mate mateIn1 middlegame oneMove,https://lichess.org/9xR25nXS/black#46,,True,https://lichess.org/training/L1HCf
L8gCa,4r3/R5pk/1p4Np/2p2P1N/3nP1nP/1b1P4/1P4P1/4K3 b - - 7 34,h7g8 a7g7,1275,77,70,93,mate mateIn1 middlegame oneMove,https://lichess.org/JMs3Vyti/black#68,,True,https://lichess.org/training/L8gCa
L977U,6k1/5pp1/3P4/R3PKp1/1r4N1/5n1P/5P2/8 w - - 1 40,d6d7 b4f4,1598,79,90,5242,endgame mate mateIn1 oneMove,https://lichess.org/oSwfv2jC#79,,True,https://lichess.org/training/L977U
L9FEr,4Q3/p5k1/1p4pp/8/5P2/6P1/Pq1r1n1P/R4RK1 w - - 9 38,a1b1 f2h3 g1h1 d2h2,1015,77,93,309,discoveredAttack endgame mate mateIn2 short,https://lichess.org/qgN5so70#75,,True,https://lichess.org/training/L9FEr
LABGK,k5r1/5R1p/pP6/N1b5/1p1p3P/1P6/2P3r1/5K2 b - - 1 42,d4d3 f7a7 a8b8 a5c6 b8c8 a7c7,2347,82,91,1220,endgame exposedKing long mate mateIn3,https://lichess.org/ZFQ1Vg13/black#84,,True,https://lichess.org/training/LABGK
LAddZ,N2k4/pp6/3p1p2/1bP1b3/4P2Q/5P1n/P3r3/R4R1K w - - 0 35,h4h5 e2h2,1471,87,75,345,mate mateIn1 middlegame oneMove,https://lichess.org/1CllTmjQ#69,,True,https://lichess.org/training/LAddZ
LGkqi,4R3/pp1B1k2/2p2p1p/2P5/3n3r/1P4b1/P6P/1N3R1K w - - 0 34,f1d1 h4h2 h1g1 d4f3 g1f1 h2f2,1647,75,94,915,long mate mateIn3 middlegame,https://lichess.org/SJ3xZIJ6#67,,True,https://lichess.org/training/LGkqi
LGtRO,4r1b1/p2r2pR/6kR/1p3NP1/4p1K1/P2nB3/8/8 b - - 7 46,g7h6 h7h6 g6f7 h6f6,1833,77,96,13863,mate mateIn2 middlegame short,https://lichess.org/AcWBNoJZ/black#92,,True,https://lichess.org/training/LGtRO
LHcGB,4rrk1/1RR2Nbp/p4Np1/8/5P2/3n3P/P5P1/6K1 b - - 2 28,g7f6 f7h6 g8h8 c7h7,899,79,95,365,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/HBsOpacI/black#56,,True,https://lichess.org/training/LHcGB
LJJgz,4k3/R7/8/2p3r1/4N2p/1P2Pn1K/P2r4/1R6 w - - 2 41,e4d2 g5g3,1301,75,99,9397,endgame mate mateIn1 oneMove,https://lichess.org/YiItLgWr#81,,True,https://lichess.org/training/LJJgz
LKhTI,1k6/6R1/2pN4/4nb2/6n1/1P4P1/P3r3/3R2K1 w - - 5 35,d6f5 e5f3 g1f1 e2f2,1270,76,100,377,endgame mate mateIn2 short,https://lichess.org/Yk5rTUKl#69,,True,https://lichess.org/training/LKhTI
LLMQu,4k3/6R1/1P1KN3/8/8/8/6p1/4r3 b - - 3 54,g2g1q g7e7,1599,84,80,590,endgame master mate mateIn1 oneMove,https://lichess.org/PnqJuRNz/black#108,,True,https://lichess.org/training/LLMQu
LPYE7,4k3/1pp2R1N/p7/3P4/P6n/1B4p1/1PP3r1/7K w - - 3 35,f7g7 g2h2 h1g1 h4f3 g1f1 h2f2,1982,76,92,1872,endgame exposedKing long mate mateIn3,https://lichess.org/nQgzYXFE#69,,True,https://lichess.org/training/LPYE7
