PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
1fScq,4rb2/p4NRk/4p2P/1p3p2/2r1b2P/P1N1P3/1P3P2/2K3R1 b - - 6 27,f8g7 g1g7,1181,78,91,694,master mate mateIn1 middlegame oneMove,https://lichess.org/mYC4xjVh/black#54,,True,https://lichess.org/training/1fScq
1kEzk,7r/7r/p1p1k3/2p2p2/2PbpB2/P4nPP/1P4B1/R1Q4K w - - 1 36,a1b1 h7h3 g2h3 h8h3 h1g2 h3h2 g2f1 h2f2,1764,75,93,365,exposedKing kingsideAttack mate mateIn4 middlegame veryLong,https://lichess.org/C9oPcw1n#71,,True,https://lichess.org/training/1kEzk
1nQOt,5r2/p6p/1p6/3R1k2/5n2/5Nr1/PPP2K2/8 b - - 13 48,f5g4 d5g5 g4h3 g5g3,1244,76,91,106,endgame master mate mateIn2 short,https://lichess.org/xUK2Fpr0/black#96,,True,https://lichess.org/training/1nQOt
1ogQq,8/8/2R2N2/8/8/6nk/r7/6K1 w - - 1 46,f6e4 a2g2,1803,90,68,85,endgame master mate mateIn1 oneMove,https://lichess.org/vkeiXJDf#91,,True,https://lichess.org/training/1ogQq
21m6n,8/R6p/4p1p1/3p2P1/3P2k1/1rb1PN1P/5K2/8 b - - 0 37,g4h3 a7h7 h3g4 h7h4 g4f5 h4f4,1587,74,94,980,endgame long mate mateIn3,https://lichess.org/vSlRQr94/black#74,,True,https://lichess.org/training/21m6n
2AgFi,3r2k1/1b1p2pp/pq2p1p1/1p4N1/2nQN3/P3P3/1PP3PP/5RK1 b - - 3 18,b6c6 d4g7 g8g7 f1f7 g7h8 f7h7 h8g8 e4f6 g8f8 h7f7,2369,81,97,521,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/OHmrx0Bd/black#36,French_Defense French_Defense_Franco-Sicilian_Defense,True,https://lichess.org/training/2AgFi
2FFZF,6r1/2kn1Q2/p1pN4/q3p2r/2PP3p/7P/5PB1/1R4K1 b - - 1 28,h5g5 b1b7 c7d8 b7d7,1390,75,96,816,mate mateIn2 middlegame short,https://lichess.org/Qwf7zwFJ/black#56,,True,https://lichess.org/training/2FFZF
2GhIP,r3kbr1/1p3p1p/1p2Pp2/1Np5/8/P3P3/1P1n1PPP/R2R3K b q - 2 18,d2b3 b5c7 e8e7 d1d7,1531,75,88,279,fork mate mateIn2 middlegame short,https://lichess.org/uwySE3E2/black#36,Trompowsky_Attack Trompowsky_Attack_Other_variations,True,https://lichess.org/training/2GhIP
2H3Vn,5r2/4N1pk/7p/R3p3/2b1K1n1/8/3R3P/8 w - - 2 45,h2h3 f8f4,1378,75,100,434,endgame mate mateIn1 oneMove,https://lichess.org/c2su439o#89,,True,https://lichess.org/training/2H3Vn
2I8GF,7k/5R2/1p3pKN/2b5/5r1P/p7/P7/8 b - - 4 51,f4h4 f7h7,1400,75,96,1348,endgame mate mateIn1 oneMove,https://lichess.org/2oYvfgwt/black#102,,True,https://lichess.org/training/2I8GF
