PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref,King_x,King_y,dir_detail
E7GO1,4b3/p2k2P1/1p2pQ2/3pP3/3P1PKP/1P6/P3q3/8 w - - 3 48,g4g5 e2h5,1411,76,90,358,endgame master mate mateIn1 oneMove,https://lichess.org/HTQ400It#95,,True,https://lichess.org/training/E7GO1,6,4,Queen_right_King
UU202,r3k2r/pp3ppp/1qpp4/4p3/2B1PPbb/3PKN2/PPP5/R1BQ2R1 w kq - 4 15,e3e2 b6f2,1412,77,86,812,mate mateIn1 middlegame oneMove,https://lichess.org/iVOQx4JQ#29,Kings_Gambit Kings_Gambit_Other_variations,True,https://lichess.org/training/UU202,4,1,Queen_right_King
AJ2Md,r1b1k1r1/1p1p1p2/p3pp2/7B/3pP3/P2P1Kq1/1PP5/RN1Q1R2 w q - 10 21,f3e2 g3e3,1412,100,60,179,mate mateIn1 middlegame oneMove,https://lichess.org/2flLrAQI#41,,True,https://lichess.org/training/AJ2Md,4,1,Queen_above_King
lTN6k,6k1/pp3p2/3q1p1p/8/6P1/1BP2Q1P/PP2RPKb/2r5 w - - 9 32,f3e4 c1g1 g2f3 g1g3 f2g3 d6g3,1412,77,78,95,endgame long mate mateIn3 sacrifice,https://lichess.org/IQUrGwE9#63,,True,https://lichess.org/training/lTN6k,5,2,Queen_right_King
bGwt9,3Q4/1p5k/pN4p1/P1R1p2p/4Pb2/1P1R4/4K1q1/8 w - - 3 53,e2d1 g2f1 d1c2 f1c1,1412,76,83,469,endgame mate mateIn2 short,https://lichess.org/342gw74u#105,,True,https://lichess.org/training/bGwt9,2,1,Queen_below_King
tQUF4,6k1/1pp3p1/3b3p/p2PrRn1/2P3Pq/P2Qp2P/1P2N1K1/7R w - - 1 30,f5e5 h4f2,1413,75,94,5313,master mate mateIn1 middlegame oneMove,https://lichess.org/5sufaW43#59,,True,https://lichess.org/training/tQUF4,6,1,Queen_left_King
S9dwm,8/1p1qk1Q1/p7/5pNp/3P3P/6P1/1P3PK1/3r4 b - - 2 37,e7d6 g7e5 d6c6 e5c5,1413,75,99,1657,endgame master mate mateIn2 short,https://lichess.org/1hnz0vIE/black#74,,True,https://lichess.org/training/S9dwm,2,5,Queen_below_King
fmLvs,8/kp6/4p2B/1b1p4/3P3P/n1RK2P1/1q3P2/Q6R w - - 1 36,d3e3 b2e2 e3f4 e2e4 f4g5 e4f5,1414,76,93,402,long mate mateIn3 middlegame,https://lichess.org/WPnGQZlC#71,,True,https://lichess.org/training/fmLvs,6,4,Queen_left_King
vSpMe,8/p6p/6pP/2Qp1b2/1p2k1P1/8/PP1p1P1K/3q4 b - - 0 36,d1g4 c5e3,1414,87,71,709,endgame mate mateIn1 oneMove,https://lichess.org/fZrX4Z3c/black#72,,True,https://lichess.org/training/vSpMe,4,3,Queen_below_King
VGmAu,rn2kb1r/ppp2ppp/8/3P4/4nP1q/3B4/PPP3PP/R1BQK1NR w KQkq - 2 9,e1e2 h4f2,1414,110,15,81,mate mateIn1 oneMove opening,https://lichess.org/AHGvidmg#17,,True,https://lichess.org/training/VGmAu,4,1,Queen_right_King
ro5in,rn3r2/ppq3k1/2p2b2/5Q2/8/2N4R/PPP3PP/7K b - - 0 21,c7e5 f5h7,1414,77,65,151,mate mateIn1 middlegame oneMove,https://lichess.org/MKHtmkig/black#42,,True,https://lichess.org/training/ro5in,6,6,Queen_right_King
AFODU,4q3/kp2P2p/p7/4QKP1/8/6P1/8/8 w - - 11 54,f5f6 e8g6,1415,75,95,10521,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/gvkTTNVV#107,,True,https://lichess.org/training/AFODU,5,5,Queen_right_King
iE1Nw,7Q/p3q1p1/1p4k1/1P4p1/2P1ppPP/8/5P1K/8 b - - 0 51,g5h4 h8h5 g6f6 h5f5,1415,83,55,93,endgame mate mateIn2 queenEndgame short,https://lichess.org/ersHm0bD/black#102,,True,https://lichess.org/training/iE1Nw,5,5,Queen_below_King
jSKvy,r1b4r/pp4pp/2n1k3/2bQp1q1/2B5/2P5/P1P2PPP/R3K2R b KQ - 0 14,e6f6 d5f7,1415,76,91,201,mate mateIn1 middlegame oneMove,https://lichess.org/UTjwfeb3/black#28,Sicilian_Defense Sicilian_Defense_Lasker-Pelikan_Variation,True,https://lichess.org/training/jSKvy,5,5,Queen_above_King
1C4hu,r3kr2/pp1bb1p1/4p2p/3pP3/2pq2P1/7P/PP2B1K1/RNB1Q2R w q - 0 18,e1c3 d4f2,1415,96,50,45,mate mateIn1 middlegame oneMove,https://lichess.org/Go1xvjmu#35,Scandinavian_Defense Scandinavian_Defense_Other_variations,True,https://lichess.org/training/1C4hu,6,1,Queen_left_King
ksuYC,2Q1k3/3r4/8/3p4/P7/1P5q/4KRr1/8 b - - 0 60,e8e7 c8f8 e7e6 f8f6,1415,75,93,2545,endgame mate mateIn2 short,https://lichess.org/l6ZaWy8g/black#120,,True,https://lichess.org/training/ksuYC,4,5,Queen_right_King
Iv8Tf,r1b1rk2/p4p1N/2p3p1/2Pp4/4p3/P6P/2Pq1PP1/Q3R1K1 b - - 0 22,f8e7 a1f6 e7d7 f6d6,1416,77,94,1189,mate mateIn2 middlegame short,https://lichess.org/EsRe8A3z/black#44,,True,https://lichess.org/training/Iv8Tf,3,6,Queen_below_King
uNb9m,3r1rk1/p5pp/1p6/3B4/2P3P1/P3Q3/1q3P1R/3K4 b - - 5 25,g8h8 h2h7 h8h7 e3h3 h7g6 h3h5 g6f6 h5f5 f6e7 f5e6,1416,80,96,6426,attraction endgame mate mateIn5 sacrifice veryLong,https://lichess.org/vHrhVStd/black#50,,True,https://lichess.org/training/uNb9m,4,6,Queen_below_King
EEQp5,r2q4/pp3k1Q/3p1pN1/2p5/2Pn4/1P1P4/P2K2P1/8 b - - 2 26,f7e6 g6f4 e6e5 h7e4,1416,75,94,1501,endgame mate mateIn2 short,https://lichess.org/rFw4kJqk/black#52,,True,https://lichess.org/training/EEQp5,4,4,Queen_below_King
M1oOV,2rqrbk1/p4B1p/1p2p2B/3n4/3n4/2N2PR1/PP3P1P/R5QK b - - 0 21,g8f7 g3g7 f8g7 g1g7,1416,77,93,711,mate mateIn2 middlegame sacrifice short,https://lichess.org/i0ptb1S7/black#42,,True,https://lichess.org/training/M1oOV,5,6,Queen_right_King
1KYi1,8/8/8/1R2pkp1/4q3/4B1K1/1P3P1P/8 w - - 2 39,b5b8 e4g4,1416,75,96,3410,endgame mate mateIn1 oneMove,https://lichess.org/9JZg48L3#77,,True,https://lichess.org/training/1KYi1,6,2,Queen_above_King
B1XDC,7k/1p4rp/5n2/6q1/p2BpN1R/P1Q2b2/1P3P2/2R1K3 w - - 0 41,d4f6 g5g1 e1d2 g1f2 f4e2 f2e2,1417,179,69,24,deflection long master mate mateIn3 middlegame,https://lichess.org/bfIizCJF#81,,True,https://lichess.org/training/B1XDC,3,1,Queen_right_King
nKSKp,3Q4/5p2/2q2K2/5p2/5P1P/3P4/k7/8 w - - 9 74,f6f5 c6e6 f5g5 e6g6,1417,80,85,105,endgame mate mateIn2 queenEndgame short,https://lichess.org/9Tln7lis#147,,True,https://lichess.org/training/nKSKp,6,4,Queen_above_King
ZP03L,r3r3/1p1n4/1qp1pBk1/3n4/p2P4/7P/PPPQ1P2/1K1R2R1 b - - 0 22,g6f6 d2g5 f6f7 g5g7,1417,75,80,365,mate mateIn2 middlegame short,https://lichess.org/4u0GvkUI/black#44,,True,https://lichess.org/training/ZP03L,5,6,Queen_right_King
NCrGx,3r2r1/p5Bp/3bkp2/q1pQpb1B/2P5/8/PP3PPP/2KR4 b - - 5 21,e6e7 d5f7,1417,86,65,43,mate mateIn1 middlegame oneMove,https://lichess.org/PoqTghAc/black#42,,True,https://lichess.org/training/NCrGx,4,6,Queen_right_King
VhxqV,8/5k1Q/2r1r1p1/2p3B1/2P2P2/P2qn2P/6P1/6RK b - - 3 35,f7e8 h7g8 e8d7 g8d8,1417,79,95,7067,mate mateIn2 middlegame short,https://lichess.org/PDTLVd6W/black#70,,True,https://lichess.org/training/VhxqV,3,6,Queen_above_King
H4s7f,r2qk2r/1pp3pp/2np1n2/p1b1p1N1/P3P1b1/NQP5/1P1P1PPP/R1B2RK1 b - - 3 10,e8e7 b3f7,1418,75,93,2172,mate mateIn1 middlegame oneMove,https://lichess.org/Li8JwykI/black#20,Italian_Game Italian_Game_Giuoco_Piano,True,https://lichess.org/training/H4s7f,4,6,Queen_right_King
hu86t,6QR/4r1b1/3p2k1/p1pBp3/4Pp2/P5q1/6P1/6K1 b - - 3 44,f4f3 g8h7 g6f6 h7f5,1418,78,98,624,endgame mate mateIn2 short,https://lichess.org/9BKrwuOs/black#88,,True,https://lichess.org/training/hu86t,5,5,Queen_below_King
EkHKd,r1bqk2r/ppp3p1/8/4pP2/1b1pn1P1/3P4/2PB3P/R2QKBNR w KQkq - 0 14,d2b4 d8h4 e1e2 h4f2,1418,75,84,500,mate mateIn2 middlegame short,https://lichess.org/lHdR9JhC#27,Vienna_Game Vienna_Game_Other_variations,True,https://lichess.org/training/EkHKd,4,1,Queen_right_King
IJvlT,1k6/1p6/p1n1Q3/3pP2p/7P/2KB4/PPP2q2/8 w - - 1 34,e6d5 f2e1 c3c4 e1b4,1419,74,83,133,endgame mate mateIn2 short,https://lichess.org/TpDKP4U7#67,,True,https://lichess.org/training/IJvlT,2,3,Queen_left_King
bxrFh,r1b1k3/1pq4Q/p2b1rB1/2pp4/8/2P5/PP3PP1/RN5K b - - 0 21,e8f8 h7h8 f8e7 h8e8,1419,75,88,156,fork mate mateIn2 middlegame short,https://lichess.org/XBh14Mlf/black#42,,True,https://lichess.org/training/bxrFh,4,6,Queen_above_King
KDcSC,1r4k1/6pp/8/1bNpRp2/N2P1P1P/1P4Pq/3Q1K2/8 w - - 3 40,d2e3 h3f1,1420,76,90,2142,master mate mateIn1 middlegame oneMove,https://lichess.org/xflYGORu#79,,True,https://lichess.org/training/KDcSC,5,1,Queen_below_King
QlEC7,6k1/1p3pp1/p2pr2p/2pQ4/2P5/P4B2/2R3R1/1q1K4 w - - 2 37,d1d2 b1e1 d2d3 e1e3,1420,200,86,10,endgame mate mateIn2 short,https://lichess.org/AwcN7ynP#73,,True,https://lichess.org/training/QlEC7,3,2,Queen_right_King
fnp5Z,r1bqkb1r/ppp5/3p3p/n2PNppB/8/6n1/PPP2PPP/RN1QK2R b KQkq - 1 11,g3h5 d1h5 e8e7 h5f7,1420,75,84,165,mate mateIn2 opening short,https://lichess.org/7kDseOAA/black#22,Nimzowitsch_Defense Nimzowitsch_Defense_Other_variations,True,https://lichess.org/training/fnp5Z,4,6,Queen_right_King
CF1ER,r2qkb1r/1bp3pp/p2p1p2/1p2pP1Q/3n4/P1N4P/BPPP1PP1/R1B1K2R b KQkq - 2 11,e8e7 h5f7,1420,91,58,95,mate mateIn1 oneMove opening,https://lichess.org/2ALnbX0y/black#22,Philidor_Defense Philidor_Defense_Other_variations,True,https://lichess.org/training/CF1ER,4,6,Queen_right_King
DfgIv,5rk1/p4p2/1p1b3p/3Q2pP/3PpqP1/2P5/PP2RBK1/5R2 w - - 2 29,d5e4 f4h2 g2f3 h2h3 f2g3 h3g3,1420,78,94,1271,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/6cXn2BIa#57,,True,https://lichess.org/training/DfgIv,5,2,Queen_right_King
dN14E,3q3r/p3k1p1/3pb1Bp/3n1P2/3Q3N/Pr2n1PK/1P6/R1B2R2 b - - 0 34,e3f1 d4g7 e6f7 g7f7,1420,76,94,1604,mate mateIn2 middlegame short,https://lichess.org/ZVdJDDFP/black#68,,True,https://lichess.org/training/dN14E,4,6,Queen_right_King
rSgXs,5rk1/Q4ppp/3N1n2/7q/P1B2n2/8/1P3PKP/R4R2 w - - 1 23,g2g3 h5g4,1421,74,80,215,mate mateIn1 middlegame oneMove,https://lichess.org/P6WcWjbs#45,,True,https://lichess.org/training/rSgXs,6,2,Queen_above_King
