PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
Qu7RR,6B1/7R/p7/4N1k1/1p1P1pPp/5P1K/P1r1b3/8 w - - 3 40,h7h4 e2f1,788,77,100,109,endgame mate mateIn1 oneMove,https://lichess.org/IJlYcXq2#79,,True,https://lichess.org/training/Qu7RR
vFwqN,8/1R1B2k1/4p2p/3pPbp1/8/1P2P1K1/4r2P/8 b - - 5 51,g7g6 d7e8,796,80,100,283,endgame mate mateIn1 oneMove,https://lichess.org/Oa3Qlm4c/black#102,,True,https://lichess.org/training/vFwqN
6mYLZ,8/2p2k1p/B5pB/1P3p2/6P1/P6P/r4bb1/2R1K3 w - - 8 41,e1d1 g2f3,796,106,94,698,endgame mate mateIn1 oneMove,https://lichess.org/QxyFsizs#81,,True,https://lichess.org/training/6mYLZ
hTTIJ,3r1q1k/4R3/1pp2Qp1/p3Bp1p/P1B5/2P2b2/1P1p4/RK6 b - - 0 40,f8f6 e5f6,798,79,100,75,mate mateIn1 middlegame oneMove,https://lichess.org/zjnNuAiX/black#80,,True,https://lichess.org/training/hTTIJ
kEZGz,8/PR1P2bP/6k1/2p5/4p3/4p3/5r2/3B1K2 w - - 1 51,f1e1 g7c3,799,80,99,1297,endgame mate mateIn1 oneMove,https://lichess.org/dms26oD4#101,,True,https://lichess.org/training/kEZGz
nToY3,6k1/5pp1/4p2p/2N5/Q2PP3/2P1b1PP/1r2b3/7K w - - 5 38,a4a1 e2f3,802,88,94,597,endgame mate mateIn1 oneMove,https://lichess.org/gcbP9doO#75,,True,https://lichess.org/training/nToY3
3me3b,k2r3r/B3R3/p1np1p2/2QB3p/6p1/8/P1P3PP/6K1 b - - 0 26,d6c5 d5c6,802,78,100,202,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/smSFs6m2/black#52,,True,https://lichess.org/training/3me3b
FpRkn,8/7p/p1RBb1k1/1pP1P3/6r1/P1P5/7P/7K w - - 1 41,c6a6 e6d5,810,85,92,145,endgame mate mateIn1 oneMove,https://lichess.org/KelhzhRZ#81,,True,https://lichess.org/training/FpRkn
fKukY,4bk1r/pR6/2p4p/6p1/8/5PB1/P5PP/6K1 b - - 1 29,h8g8 g3d6,810,77,100,175,endgame mate mateIn1 oneMove,https://lichess.org/TuYPhpdG/black#58,,True,https://lichess.org/training/fKukY
ReeyD,7k/R7/4p2p/1b2P1pN/3PPK2/1r5P/8/8 w - - 0 38,f4g4 b5e2,810,100,94,275,endgame master mate mateIn1 oneMove,https://lichess.org/0x0p6R1A#75,,True,https://lichess.org/training/ReeyD
d6y2x,4r1k1/1R2B3/6pp/pp1BR3/5p2/P6P/1r3qP1/7K b - - 1 37,g8h8 e7f6,810,99,91,38,master mate mateIn1 middlegame oneMove,https://lichess.org/hE381ZIu/black#74,,True,https://lichess.org/training/d6y2x
zWHk6,6k1/7p/pp4p1/3Pp3/1PP1B3/P2KP2b/r6P/2R5 w - - 7 30,c1c3 h3f1,811,88,93,185,endgame master mate mateIn1 oneMove,https://lichess.org/M1n8Fdy3#59,,True,https://lichess.org/training/zWHk6
gQZ19,8/8/p7/1p5R/2pBk3/P1K1P1bP/1PP4r/8 w - - 14 44,h5g5 g3e1,813,81,99,806,endgame master mate mateIn1 oneMove,https://lichess.org/Qh5y1OpF#87,,True,https://lichess.org/training/gQZ19
aAlsY,6k1/6p1/p1b3Qp/1p4B1/3b2P1/1P3q1P/P3r3/3R1R1K w - - 0 29,f1f3 c6f3,813,101,90,355,mate mateIn1 middlegame oneMove,https://lichess.org/4qczvj0J#57,,True,https://lichess.org/training/aAlsY
IymBE,1r6/R6k/3b2p1/3Bp1Bp/4P3/3r2P1/7P/7K b - - 3 40,h7h8 g5f6,815,113,85,59,endgame mate mateIn1 oneMove,https://lichess.org/JgXRJuzc/black#80,,True,https://lichess.org/training/IymBE
2Z346,5k2/1R6/8/3PpN2/4P1P1/2b2P1P/r5K1/8 w - - 1 36,g2g3 c3e1,815,107,79,206,endgame mate mateIn1 oneMove,https://lichess.org/rosBs5Py#71,,True,https://lichess.org/training/2Z346
7fd0v,8/6pk/7p/5p2/3QbP2/P4r1q/6P1/6RK w - - 0 42,g2h3 f3h3,817,86,85,390,doubleCheck endgame master mate mateIn1 oneMove,https://lichess.org/J75TUSsA#83,,True,https://lichess.org/training/7fd0v
Gp7Kn,8/1R4k1/5p2/2B2Kpp/1P6/6P1/3r3r/8 b - - 3 51,g7h6 c5f8,824,79,89,74,endgame mate mateIn1 oneMove,https://lichess.org/B2Kozodc/black#102,,True,https://lichess.org/training/Gp7Kn
7otS3,6k1/3B3p/4p1p1/2Pb4/8/1P6/Pb3r1P/2KR2R1 w - - 1 27,c1b1 d5e4 d1d3 e4d3,824,78,78,98,endgame mate mateIn2 short,https://lichess.org/nr49iKoo#53,,True,https://lichess.org/training/7otS3
rZ3cf,r3r1kQ/p1pn3p/6pb/2qpR3/8/2B4P/1PP3P1/5R1K b - - 1 29,g8h8 e5e8,828,87,92,583,doubleCheck master mate mateIn1 middlegame oneMove,https://lichess.org/d01PW8ft/black#58,,True,https://lichess.org/training/rZ3cf
Ytgz6,2r3k1/pp4bp/1Bb1p1p1/4P3/8/1P1Bn1r1/P1PQN2P/R6K w - - 1 23,d3e4 c6e4,831,79,100,104,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OhM6iHf1#45,,True,https://lichess.org/training/Ytgz6
a9gOk,5r1k/7p/6p1/R7/4p1bP/1BP1B3/Pb1K4/8 b - - 0 30,f8c8 e3d4,833,95,92,1254,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/G9PLuzdG/black#60,,True,https://lichess.org/training/a9gOk
90EM1,6k1/4p2p/4P1pb/3r4/1PP4N/6pP/r7/5BKR w - - 0 34,c4d5 h6e3,834,82,100,272,endgame mate mateIn1 oneMove,https://lichess.org/QySVwQsz#67,,True,https://lichess.org/training/90EM1
nRunL,6k1/5p2/6pp/5b2/2Bb3r/1PB3P1/r7/2R2R1K w - - 0 34,g3h4 f5e4 f1f3 e4f3,836,77,88,251,mate mateIn2 middlegame short,https://lichess.org/o2VD8Gxg#67,,True,https://lichess.org/training/nRunL
KSC1a,1r4kr/3R3p/6pb/4q3/1pB5/8/PPP3PP/1K3R2 b - - 3 26,e5e6 c4e6,839,80,84,196,hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/7rIFPk3w/black#52,,True,https://lichess.org/training/KSC1a
mUMaJ,r1bk3r/ppppb2p/4R3/6Q1/4P3/3P4/PPP3PP/R1B4K b - - 0 16,e7g5 c1g5,842,86,98,346,mate mateIn1 middlegame oneMove,https://lichess.org/UOy9Sa9z/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Double_Muzio_Gambit,True,https://lichess.org/training/mUMaJ
TcwJT,r7/7p/p1RB2k1/1p2Pp1p/1Pb5/P5PK/8/8 b - - 7 42,g6g5 d6e7,842,79,100,413,endgame mate mateIn1 oneMove,https://lichess.org/OGnFYyih/black#84,,True,https://lichess.org/training/TcwJT
nqQfl,8/1R6/4p1kp/1B2Kpp1/P7/7P/r5n1/8 b - - 1 35,g2f4 b5e8,843,95,97,336,endgame mate mateIn1 oneMove,https://lichess.org/w6DyCdGT/black#70,,True,https://lichess.org/training/nqQfl
ONfGW,7r/2R5/1p1Bp1k1/1B1p1bP1/P4P1P/8/1b2K3/8 b - - 0 32,h8h4 b5e8,845,77,70,107,endgame master mate mateIn1 oneMove,https://lichess.org/XAGFby4G/black#64,,True,https://lichess.org/training/ONfGW
9EBt6,1k6/1p6/1B3ppp/P2p4/3P2P1/4bPNP/r3b3/1R4K1 w - - 2 35,g1h1 e2f3,846,78,100,93,endgame mate mateIn1 oneMove,https://lichess.org/ZvMj6j17#69,,True,https://lichess.org/training/9EBt6
Zv8cz,4k3/8/5R1p/1p1P3P/1P4b1/PKB5/6r1/8 w - - 0 64,f6h6 g4d1,849,95,94,489,endgame mate mateIn1 oneMove,https://lichess.org/LgLIN0Za#127,,True,https://lichess.org/training/Zv8cz
NTznr,8/b1p2R2/k1pp3p/P7/P3r1bP/2B3P1/7K/1R6 w - - 3 38,f7c7 e4e2 h2h1 g4f3,849,84,68,137,endgame mate mateIn2 short,https://lichess.org/wOe8ziBp#75,,True,https://lichess.org/training/NTznr
rLMvT,r4b1r/pp1R1k1p/2p1ppn1/6p1/5P2/2N1N1PB/PP4KP/8 b - - 2 22,f7g8 h3e6,849,85,88,83,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/2GEn5wsL/black#44,,True,https://lichess.org/training/rLMvT
Ou7lB,r5k1/6Rp/1pb2P2/p1p1Br2/6p1/4R3/6PP/6K1 b - - 1 38,g8f8 e5d6,849,82,100,143,endgame mate mateIn1 oneMove,https://lichess.org/MYezJsAI/black#76,,True,https://lichess.org/training/Ou7lB
wnoqq,8/1p6/p5k1/3P4/1P3BP1/2bR1P1P/r5K1/8 w - - 4 39,g2g3 c3e1,851,91,95,405,endgame mate mateIn1 oneMove,https://lichess.org/DVOOFjR8#77,,True,https://lichess.org/training/wnoqq
r7kGJ,7k/1p3Bp1/p7/P1b4p/3N1PbP/1P4P1/1BPr4/R6K w - - 1 29,d4e6 g4f3,852,82,90,932,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/baoBInKp#57,,True,https://lichess.org/training/r7kGJ
fatdF,8/1R3k2/3p2p1/B2Pbp2/1P6/r7/P4K2/8 b - - 6 50,f7f6 a5d8,853,92,96,1728,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/2NJA2aRI/black#100,,True,https://lichess.org/training/fatdF
ngfYO,2bq3k/4R1p1/r2PBQ1p/ppp5/7B/2P2N2/PP4PP/6K1 b - - 0 28,g7f6 h4f6,854,81,53,67,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/KOxXTvSH/black#56,,True,https://lichess.org/training/ngfYO
ZCaKU,4R3/p7/1bB2p1k/1P5P/P5P1/3r3K/8/8 w - - 1 42,h3h4 b6f2,856,86,77,203,endgame mate mateIn1 oneMove,https://lichess.org/U3NYiKk4#83,,True,https://lichess.org/training/ZCaKU
ulA4y,8/1p6/1k2p3/1Np1p3/2P1Pp1b/1P1P4/3K2r1/1R1N4 w - - 2 44,d2c3 h4e1,859,93,96,720,endgame mate mateIn1 oneMove,https://lichess.org/XNdcQhog#87,,True,https://lichess.org/training/ulA4y
99uRk,8/p4p2/2R4k/6p1/1p6/1Bp2PK1/Pb2rP2/8 b - - 3 35,h6h5 b3f7,860,78,100,105,endgame master mate mateIn1 oneMove,https://lichess.org/XpDBkAkd/black#70,,True,https://lichess.org/training/99uRk
hwetW,1r2k3/R4BBp/3p2p1/3P4/2n4P/pp4P1/3n1PK1/8 b - - 3 36,e8d8 g7f6 d8c8 f7e6,861,83,97,1712,endgame mate mateIn2 short,https://lichess.org/V4puJ5UI/black#72,,True,https://lichess.org/training/hwetW
i4KCA,6k1/7R/6P1/2bpKB2/8/8/3r4/8 b - - 0 45,c5f8 f5e6,862,80,90,313,endgame mate mateIn1 oneMove,https://lichess.org/hLwY4N4B/black#90,,True,https://lichess.org/training/i4KCA
8EGKi,8/5p2/4b3/7k/6rP/4B1K1/4PR2/8 w - - 11 40,g3f3 e6d5,863,78,85,86,endgame master mate mateIn1 oneMove,https://lichess.org/0Kte5Dvj#79,,True,https://lichess.org/training/8EGKi
GzoGn,8/8/2p4p/R1k1p2P/Pp1bP1B1/1r3P2/3K4/8 b - - 0 39,c5c4 g4e6,867,77,100,168,endgame mate mateIn1 oneMove,https://lichess.org/HgEYyWzF/black#78,,True,https://lichess.org/training/GzoGn
FpvXr,2r5/1p5p/p2R2p1/5R1k/4p1nP/1B4P1/PP2KP2/2r5 b - - 0 29,g6f5 b3f7,868,77,100,217,endgame mate mateIn1 oneMove,https://lichess.org/uiqHTAL4/black#58,,True,https://lichess.org/training/FpvXr
tiCjw,8/8/pR3k2/3p1p1p/1B1P1bp1/P4P2/1P3P1r/6K1 b - - 1 39,f6g5 b4e7,868,92,94,111,endgame mate mateIn1 oneMove,https://lichess.org/hvRxxfjh/black#78,,True,https://lichess.org/training/tiCjw
eOgPv,4R3/6p1/3p2Bk/2b2P2/1p3PP1/3r3K/P7/8 w - - 5 40,h3h4 c5f2,869,79,100,451,endgame mate mateIn1 oneMove,https://lichess.org/qPuuEfWg#79,,True,https://lichess.org/training/eOgPv
BoOqm,8/1p5k/5R2/Pb1P2p1/3Bp1Pp/P3P2K/3r4/8 w - - 11 46,f6b6 b5f1,871,78,100,129,endgame mate mateIn1 oneMove,https://lichess.org/JExiN2wZ#91,,True,https://lichess.org/training/BoOqm
pj6xK,8/7p/2k5/PR6/2Pb4/4p3/5r2/3B1K2 w - - 4 39,f1e1 d4c3,873,92,100,39,endgame mate mateIn1 oneMove,https://lichess.org/ItE2WHdZ#77,,True,https://lichess.org/training/pj6xK
Qpk2z,8/1R5k/2pBpK2/2P1P2p/3r2bP/p7/8/8 b - - 1 53,h7h6 d6f8,873,78,91,313,endgame mate mateIn1 oneMove,https://lichess.org/bnzjVzdO/black#106,,True,https://lichess.org/training/Qpk2z
9jQwW,3k4/p1p3p1/PpQ1r1p1/1Pb2p2/2P2PbP/6P1/3r4/4R2K w - - 0 40,c6e6 g4f3,875,77,98,579,endgame mate mateIn1 oneMove,https://lichess.org/7y1e1zl9#79,,True,https://lichess.org/training/9jQwW
i3caN,1r6/p2p1n2/1p1PkPp1/2nR2P1/2P1p3/P7/1K2B3/8 b - - 4 34,b8h8 e2g4,875,105,96,268,endgame mate mateIn1 oneMove,https://lichess.org/r8xi7aJf/black#68,,True,https://lichess.org/training/i3caN
4O1Do,r1br1q2/p2n4/2k1R2p/1p6/2BP4/5PQ1/PPP3PP/6K1 b - - 1 22,c6b7 c4d5,875,87,94,752,mate mateIn1 middlegame oneMove,https://lichess.org/CvVyCZH0/black#44,,True,https://lichess.org/training/4O1Do
3P6M2,8/1P5R/3pk3/B3p3/2P2p2/8/r4bbP/2R1K3 w - - 3 38,e1d1 g2f3,879,92,95,1216,endgame mate mateIn1 oneMove,https://lichess.org/RfsRQMiQ#75,,True,https://lichess.org/training/3P6M2
ekKa2,8/R4p2/B3k1p1/3pP3/1p1K1P2/1rn5/8/8 b - - 1 38,b3b2 a6c8,879,80,93,191,endgame mate mateIn1 oneMove,https://lichess.org/yDVSPEYd/black#76,,True,https://lichess.org/training/ekKa2
9SFHD,2r4k/pb3p1p/1p3Np1/4p3/3b4/5q1P/P1r3P1/BQ1RR2K w - - 0 34,g2f3 b7f3,880,92,96,238,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/muVGFQOm#67,,True,https://lichess.org/training/9SFHD
5SuBQ,8/1R6/2p1k2p/2P5/4pBP1/2b1P1KP/r7/8 w - - 4 43,b7h7 c3e1,881,83,99,486,endgame master mate mateIn1 oneMove,https://lichess.org/Zu4kQYNk#85,,True,https://lichess.org/training/5SuBQ
vPX3n,1r1q1r1k/3b3R/3p2Pp/2pN4/ppBnP3/1P5P/P1P5/1K5R b - - 1 26,h8g8 d5f6,881,82,93,1119,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/OtQjq1HN/black#52,,True,https://lichess.org/training/vPX3n
NDXyY,2r4k/ppp1R3/3p4/2n2r2/1nP2P1B/4P3/5P1P/3K2R1 b - - 4 27,f5h5 h4f6,881,101,95,561,master mate mateIn1 middlegame oneMove,https://lichess.org/QMXuQL4H/black#54,,True,https://lichess.org/training/NDXyY
Vz7Vn,8/R4Nkp/4p1p1/3b4/3P1P1b/3B1P2/1P1K3r/8 w - - 0 35,d2c3 h4e1,883,76,77,102,endgame master mate mateIn1 oneMove,https://lichess.org/xwRmANRU#69,,True,https://lichess.org/training/Vz7Vn
MRkp7,2b1k2r/Rp2nppp/4p3/1B1p4/3Pq3/8/3B1PPP/3K3R b k - 3 18,e8d8 d2a5 b7b6 a5b6,884,84,99,653,mate mateIn2 middlegame short,https://lichess.org/avPlEGQo/black#36,Queens_Pawn_Game Queens_Pawn_Game_London_System,True,https://lichess.org/training/MRkp7
sCfwf,8/2R2Pk1/3p3B/3P3p/6bP/4P1P1/rrB2K2/8 b - - 2 50,g7h6 f7f8b,884,90,47,66,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/VU0xjNBk/black#100,,True,https://lichess.org/training/sCfwf
29UAG,8/1P3k2/2p2Pp1/4P1K1/pbr5/1R6/8/8 w - - 1 47,b7b8q b4d2 b3e3 d2e3,887,75,89,152,endgame mate mateIn2 short,https://lichess.org/tKCb3PuH#93,,True,https://lichess.org/training/29UAG
cKHG0,1b1k4/3R4/4K3/1Bp4r/8/8/8/8 b - - 3 61,d8c8 b5a6,887,78,100,466,endgame master mate mateIn1 oneMove,https://lichess.org/pQIyDreI/black#122,,True,https://lichess.org/training/cKHG0
oO6MW,r1b5/pp2kp1p/3b1n1Q/1B2p3/8/P1n5/1P4rP/RKB3NR w - - 1 21,b2c3 c8f5 b5d3 f5d3,887,99,96,680,mate mateIn2 middlegame queensideAttack short,https://lichess.org/G6npGt1Q#41,,True,https://lichess.org/training/oO6MW
R0SVT,1r6/2p5/2p4p/2P2b2/1P2pK1k/8/1R2B1P1/8 b - - 11 36,f5h7 g2g3 h4h3 e2f1,887,76,100,323,endgame mate mateIn2 short,https://lichess.org/Dj9xUE2b/black#72,,True,https://lichess.org/training/R0SVT
wLLvk,4B3/p1R5/1n2p1k1/3pPp1p/1B3P2/P6r/r7/6K1 b - - 1 46,g6h6 b4f8,888,97,38,23,endgame mate mateIn1 oneMove,https://lichess.org/iTztWom9/black#92,,True,https://lichess.org/training/wLLvk
