PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,Quadrant,rook_king_dir,puzzle_ref
ds1kw,r4bk1/p4p2/4P1pK/7p/5P2/P5rP/1B2R1P1/R7 w - - 1 31,b2g7 f8g7,603,89,100,244,endgame mate mateIn1 oneMove,https://lichess.org/0R1DQrK0#61,,True,,,https://lichess.org/training/ds1kw
FOY2Y,r5rk/pp3p1p/3p1p2/8/4Pqb1/P1PB2P1/1P3P1P/R4R1K w - - 0 22,g3f4 g4f3,615,86,100,52,endgame mate mateIn1 oneMove,https://lichess.org/nIVJhBAt#43,,True,,,https://lichess.org/training/FOY2Y
mcUgc,r3kbr1/pp3p2/2n4p/2ppP3/3P2bq/N1P3B1/PP1Q1P1P/R4R1K w q - 0 18,g3h4 g4f3,616,98,94,572,mate mateIn1 middlegame oneMove,https://lichess.org/17Hcb0uV#35,French_Defense French_Defense_Advance_Variation,True,,,https://lichess.org/training/mcUgc
7ZmBJ,3r2k1/Q3ppbp/6p1/2p5/2b5/2P3P1/P4P1P/Rr2K3 w - - 0 22,a1b1 g7c3,620,205,100,18,endgame mate mateIn1 oneMove,https://lichess.org/cYCFLXgF#43,,True,,,https://lichess.org/training/7ZmBJ
3bQuP,4r2k/5q1p/bpnb4/2n1pPBQ/p2pP2P/P2P2R1/1P4B1/R3N1K1 b - - 3 27,f7h5 g5f6,621,97,80,428,master mate mateIn1 middlegame oneMove,https://lichess.org/8UEM3EeY/black#54,,True,,,https://lichess.org/training/3bQuP
Uk2NR,r4r1k/pppb3p/3p3n/3Pp1B1/4P3/P4PR1/1PP2P2/2KR4 b - - 0 18,h6f7 g5f6,623,89,69,166,mate mateIn1 middlegame oneMove,https://lichess.org/ygkRSkLM/black#36,Scotch_Game Scotch_Game_Other_variations,True,,,https://lichess.org/training/Uk2NR
Ij513,r4rk1/ppp2Rpp/3p4/2q5/4P1b1/1BP1P3/PP2Q1PP/5RK1 b - - 0 18,g4e2 f7f8,625,100,93,441,doubleCheck kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Fddfkq8a/black#36,Italian_Game Italian_Game_Classical_Variation,True,,,https://lichess.org/training/Ij513
RY5Y3,7k/1b3p1p/p3p3/1p4B1/5P2/1P5r/P1r2R1P/3K2R1 b - - 11 39,c2f2 g5f6,629,102,100,57,endgame mate mateIn1 oneMove,https://lichess.org/zpceO679/black#78,,True,,,https://lichess.org/training/RY5Y3
sKZzf,1r1q3r/2p3bk/pp2p1Qp/4p1p1/P1PP2P1/4BB1P/1P5K/3R1R2 b - - 0 25,h7g6 f3e4,631,88,100,83,master mate mateIn1 middlegame oneMove,https://lichess.org/bGnUucK9/black#50,,True,,,https://lichess.org/training/sKZzf
jZgSn,8/5p2/1b3Pkp/p5p1/6P1/P1P2B2/1P1q3P/5R1K b - - 5 42,b6c7 f3e4,631,82,100,155,endgame master mate mateIn1 oneMove,https://lichess.org/KjoGbwpi/black#84,,True,,,https://lichess.org/training/jZgSn
Notp9,r5k1/pp3Rpp/2n5/2P5/3r4/1B1p4/3P2PP/5R1K b - - 2 33,d4d8 f7f8,633,92,88,843,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/RHluC4N2/black#66,,True,,,https://lichess.org/training/Notp9
QsoNL,r4r1k/5p1p/5Q2/4Bq2/3P3P/4P3/PP3P2/3K2R1 b - - 0 33,f5f6 e5f6,634,80,99,883,endgame mate mateIn1 oneMove,https://lichess.org/R9tuMdUi/black#66,,True,,,https://lichess.org/training/QsoNL
mTJKL,r4r1k/p4ppp/3p1Q2/2p3B1/2pPq3/2P4P/PP4R1/R5K1 b - - 0 22,g7f6 g5f6,635,83,71,61,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/BSltHjDk/black#44,,True,,,https://lichess.org/training/mTJKL
v3tuv,r1b1r2k/1p1p1p1p/p2Pp3/4nQB1/2P4P/2P5/P7/2K3R1 b - - 0 26,e6f5 g5f6,640,86,56,98,endgame mate mateIn1 oneMove,https://lichess.org/B1RstEKa/black#52,,True,,,https://lichess.org/training/v3tuv
8iKQD,3r3k/pb5p/8/2ppnPB1/P1n1r3/2P3R1/2K4P/5R2 b - - 3 31,d8e8 g5f6,640,86,100,137,master mate mateIn1 middlegame oneMove,https://lichess.org/LhkTc8eq/black#62,,True,,,https://lichess.org/training/8iKQD
MiTSF,7k/5p1p/1p6/1PpbP1B1/3p2R1/3P4/r6P/4K3 b - - 0 37,a2h2 g5f6,642,80,100,713,endgame mate mateIn1 oneMove,https://lichess.org/Wi29KGzJ/black#74,,True,,,https://lichess.org/training/MiTSF
aKzHP,r3kb1r/1p2pppp/2N5/1BP1P3/8/2P5/P4KPP/2BR4 b kq - 0 18,b7c6 b5c6,643,86,100,60,endgame mate mateIn1 oneMove,https://lichess.org/q5MVxl6F/black#36,Alekhine_Defense Alekhine_Defense_Four_Pawns_Attack,True,,,https://lichess.org/training/aKzHP
bdo9i,5nk1/p4Nr1/1p5R/3pP3/2pPpBb1/2P1P3/PP5P/7K w - - 17 35,h6f6 g4f3,643,79,77,74,endgame master mate mateIn1 oneMove,https://lichess.org/IUldni15#69,,True,,,https://lichess.org/training/bdo9i
JxD0v,r6k/1bpp1Brp/p4B2/1p2p3/5P2/3P4/PPP2p1P/R4R1K w - - 2 21,f7d5 b7d5,648,103,87,511,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/lYLuO70L#41,,True,,,https://lichess.org/training/JxD0v
WYUPC,r1b2r1k/pp3p1p/n3pQ2/8/7q/1BB5/PPP1N2P/2K3R1 b - - 0 18,h4f6 c3f6,650,93,65,27,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dAW55JuH/black#36,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,True,,,https://lichess.org/training/WYUPC
SKcx7,r4r1k/2p2p1p/pn1p2pP/1p1PpQBP/1P6/6R1/P1P2P2/R3K3 b Q - 0 26,g6f5 g5f6,650,84,100,199,endgame master mate mateIn1 oneMove,https://lichess.org/2B3EmgD5/black#52,,True,,,https://lichess.org/training/SKcx7
jX8WO,8/R4pk1/2B5/1P4p1/2p3Kp/2Pb1P1P/6r1/8 w - - 0 31,g4h5 d3g6,653,103,88,400,endgame mate mateIn1 oneMove,https://lichess.org/N8JJcbZR#61,,True,,,https://lichess.org/training/jX8WO
F3L1C,6r1/1R6/1p6/p6k/P1b1P3/4BP1K/5n1P/8 w - - 17 47,e3f2 c4e6,655,113,94,825,endgame mate mateIn1 oneMove,https://lichess.org/WvIPtd9J#93,,True,,,https://lichess.org/training/F3L1C
zw1wq,2kr2r1/pp3p1p/2n5/3pp3/5pbq/P1PP2P1/1P3P1P/R1Q2R1K w - - 0 20,g3h4 g4f3,656,104,93,697,mate mateIn1 middlegame oneMove,https://lichess.org/f2aoRPgH#39,,True,,,https://lichess.org/training/zw1wq
I9cNl,5r1k/p4p1p/2p5/3p2B1/6RP/2Pp4/P5PK/4r3 b - - 0 27,e1e2 g5f6,657,84,91,104,endgame mate mateIn1 oneMove,https://lichess.org/mtTUeHV7/black#54,,True,,,https://lichess.org/training/I9cNl
SBbaT,8/R7/p1pk2rp/3p1p2/P3bp2/8/1P3P1P/2R4K w - - 3 46,f2f3 e4f3,661,85,100,124,endgame mate mateIn1 oneMove,https://lichess.org/lqz7cVMn#91,,True,,,https://lichess.org/training/SBbaT
rQ66h,r3kb1r/4pppp/2p5/p7/PB6/5B2/1PP2PPP/2KR3R b kq - 0 18,a5b4 f3c6,662,99,95,825,endgame mate mateIn1 oneMove,https://lichess.org/MA8m7iRc/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,True,,,https://lichess.org/training/rQ66h
uS9iK,r4r1k/pb3p1p/3pp3/qpp3BP/4P2P/2PP4/PP3PR1/RN2K3 b Q - 0 18,d6d5 g5f6,662,77,88,255,mate mateIn1 middlegame oneMove,https://lichess.org/iYvH85Aa/black#36,Sicilian_Defense Sicilian_Defense_Other_variations,True,,,https://lichess.org/training/uS9iK
uAihI,8/6k1/pR6/1p3P1K/6rP/5b2/PPP5/8 w - - 1 38,b6g6 g4g6,662,96,95,132,discoveredAttack endgame mate mateIn1 oneMove,https://lichess.org/eUKgNtdT#75,,True,,,https://lichess.org/training/uAihI
uEywl,8/5pb1/1R6/3B2pk/p7/5KP1/8/4r3 b - - 2 39,e1d1 d5f7,663,79,84,243,endgame mate mateIn1 oneMove,https://lichess.org/TsB3W5Tg/black#78,,True,,,https://lichess.org/training/uEywl
gpl6F,7k/p5r1/p2B3p/3P1Q2/2b5/P7/7P/7K w - - 4 40,d6e5 c4d5 f5e4 d5e4,664,113,81,524,endgame mate mateIn2 short,https://lichess.org/PhDpxHXl#79,,True,,,https://lichess.org/training/gpl6F
GVG0I,r3k1r1/pb3p1p/1p2pp2/8/8/3BBq2/PP3P1P/R2Q1R1K w q - 0 18,d1f3 b7f3,664,95,95,555,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/gMPeaWuM#35,Sicilian_Defense Sicilian_Defense_Alapin_Variation,True,,,https://lichess.org/training/GVG0I
FhxQc,7k/7p/2n5/3p3P/3Pp3/N3PpB1/4qP1P/6RK b - - 9 45,c6e7 g3e5,668,83,100,230,endgame mate mateIn1 oneMove,https://lichess.org/qpfXhvLL/black#90,,True,,,https://lichess.org/training/FhxQc
Z6kpm,2kr3r/pp3ppp/8/4Pb2/1bP5/2n5/PP2PPPP/R3KBNR w KQ - 0 13,b2c3 b4c3,671,109,90,589,mate mateIn1 middlegame oneMove,https://lichess.org/QttoQlG3#25,Rapport-Jobava_System Rapport-Jobava_System_Other_variations,True,,,https://lichess.org/training/Z6kpm
mJb6t,r2k4/6r1/ppR5/3p4/3P2b1/P1P5/P2B3P/4R2K w - - 2 35,c6b6 g4f3,672,82,100,120,endgame mate mateIn1 oneMove,https://lichess.org/d35Vrz8L#69,,True,,,https://lichess.org/training/mJb6t
EIDbf,5rk1/5p2/2p1b1pp/1BP5/1P5P/2Q1P2q/r4p2/3R1K1R w - - 1 27,h1h3 e6h3,673,93,96,649,master mate mateIn1 middlegame oneMove,https://lichess.org/YpynTrwb#53,,True,,,https://lichess.org/training/EIDbf
WEEk2,r5r1/2N1bk2/pp3n2/3p4/P1pP2bn/2P5/1PB1QP1P/RN3R1K w - - 4 30,e2e5 g4f3,673,79,100,362,mate mateIn1 middlegame oneMove,https://lichess.org/sZb3inLk#59,,True,,,https://lichess.org/training/WEEk2
7Ykhy,r3r2k/1p3p1p/4b3/p3Bp2/3P4/2P3R1/2K2P1P/4R3 b - - 1 28,f7f6 e5f6,674,79,47,59,endgame mate mateIn1 oneMove,https://lichess.org/J305bC4G/black#56,,True,,,https://lichess.org/training/7Ykhy
NG3HE,r3kbnr/pp2pppp/8/8/2n5/2NBBP2/P4PPP/3RK2R b Kkq - 0 12,c4b2 d3b5,674,109,96,293,mate mateIn1 middlegame oneMove,https://lichess.org/5Z6CuVZ6/black#24,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation,True,,,https://lichess.org/training/NG3HE
RBLVA,r2r3k/5p1p/p7/4B2P/1p3P2/8/PPP5/2K3R1 b - - 4 29,f7f6 e5f6,674,85,76,99,endgame mate mateIn1 oneMove,https://lichess.org/InfVgJoo/black#58,,True,,,https://lichess.org/training/RBLVA
71b86,4r1k1/5p1p/2Bb1Pp1/p3r1P1/3N1KP1/1ppPP2R/2Pn4/7R w - - 2 50,h3h7 e5e3,676,80,100,435,discoveredAttack master mate mateIn1 middlegame oneMove,https://lichess.org/EVA7b4HY#99,,True,,,https://lichess.org/training/71b86
ZRS0h,r1b4k/1p5p/4p1R1/7P/6p1/1PBP2P1/p5r1/2K2R2 b - - 2 27,e6e5 c3e5,678,103,90,694,endgame mate mateIn1 oneMove,https://lichess.org/rMVxUzp1/black#54,,True,,,https://lichess.org/training/ZRS0h
cDZoD,r4k2/p1R2pr1/2b1pB1Q/2b1P3/3p4/5q2/P6P/5R1K w - - 0 28,f1f3 c6f3,679,86,100,57,mate mateIn1 middlegame oneMove,https://lichess.org/CvDiFxbk#55,,True,,,https://lichess.org/training/cDZoD
E7XV3,8/1p3p2/2p1nBkp/2qpP3/4Q1P1/P7/1r4B1/5R1K b - - 1 36,d5e4 g2e4,679,101,92,208,endgame master mate mateIn1 oneMove,https://lichess.org/pGYBWhZM/black#72,,True,,,https://lichess.org/training/E7XV3
kymVB,2k3r1/pp5p/4p3/3pb3/8/PP1B3P/2Pn1P1K/1R5R w - - 3 23,f2f4 e5f4,681,89,87,49,endgame mate mateIn1 oneMove,https://lichess.org/YBJtgd3Z#45,,True,,,https://lichess.org/training/kymVB
